EqID,Year,Mo,Da,Imax,ImaxNum,MdpN
11820815_0000_000,1182,8.0,15.0,6,6.0,1
12170108_0000_000,1217,1.0,8.0,5-6,5.5,1
12221225_1230_000,1222,12.0,25.0,HD,8.6,18
12760729_1830_000,1276,7.0,29.0,5-6,5.5,9
15360810_2300_000,1536,8.0,10.0,6,6.0,1
15371100_0000_000,1537,11.0,,6,6.0,1
15411022_1800_000,1541,10.0,22.0,8,8.0,9
15470731_0000_000,1547,7.0,31.0,5-6,5.5,1
15490513_0830_000,1549,5.0,13.0,D,6.4,6
15640720_0000_000,1564,7.0,20.0,8-9,8.5,15
16100514_0000_000,1610,5.0,14.0,4,4.0,2
16120131_0000_000,1612,1.0,31.0,6-7,6.5,6
16371120_0000_000,1637,11.0,20.0,5-6,5.5,1
16440215_0430_000,1644,2.0,15.0,8,8.0,29
16950225_0530_000,1695,2.0,25.0,10,10.0,107
17031228_0000_000,1703,12.0,21.0,F,3.9,3
17040513_1215_000,1704,5.0,13.0,6,6.0,4
17040515_0045_000,1704,5.0,14.0,5,5.0,2
17200110_0000_000,1720,1.0,10.0,5-6,5.5,3
17300329_0005_000,1730,3.0,29.0,5,5.0,4
17320521_0000_000,1732,5.0,21.0,5-6,5.5,2
17381105_0030_000,1738,11.0,5.0,7,7.0,10
17400306_0540_000,1740,3.0,6.0,8,8.0,32
17420127_1120_000,1742,1.0,27.0,7,7.0,16
17511121_0000_000,1751,11.0,21.0,D,6.4,6
17520216_0445_000,1752,2.0,16.0,5,5.0,2
17590526_2215_000,1759,5.0,26.0,5-6,5.5,4
17670121_0745_000,1767,1.0,21.0,8,8.0,10
17670121_0900_000,1767,1.0,21.0,6-7,6.5,7
17670207_0345_000,1767,2.0,7.0,6-7,6.5,10
17750105_2245_000,1775,1.0,5.0,6,6.0,7
17750104_1800_000,1775,1.0,4.0,5,5.0,6
17780218_0218_000,1778,2.0,18.0,5-6,5.5,2
17861225_0100_000,1786,12.0,25.0,8,8.0,90
17961022_0400_000,1796,10.0,22.0,7,7.0,27
18020512_0930_000,1802,5.0,12.0,8-9,8.5,94
18060212_0000_000,1806,2.0,12.0,7,7.0,28
18060331_0000_000,1806,3.0,31.0,6,6.0,6
18070905_0130_000,1807,9.0,5.0,5-6,5.5,10
18080402_1643_000,1808,4.0,2.0,8,8.0,105
18080402_2015_000,1808,4.0,2.0,7,7.0,15
18080416_0115_000,1808,4.0,16.0,7,7.0,21
18101225_0045_000,1810,12.0,25.0,7,7.0,33
18110715_2244_000,1811,7.0,15.0,7,7.0,19
18140403_0000_000,1814,4.0,3.0,6-7,6.5,4
18181209_1855_000,1818,12.0,9.0,7-8,7.5,26
18180223_1810_000,1818,2.0,23.0,8,8.0,45
18190108_2230_000,1819,1.0,8.0,7,7.0,5
18240204_2150_000,1824,2.0,4.0,5,5.0,8
18260624_1215_000,1826,6.0,24.0,D,6.4,20
18281009_0220_000,1828,10.0,9.0,8,8.0,110
18281009_0800_000,1828,10.0,9.0,D,6.4,6
18281010_0130_000,1828,10.0,10.0,D,6.4,18
18310526_1030_000,1831,5.0,26.0,8-9,8.5,33
18310528_1245_000,1831,5.0,28.0,6,6.0,7
18310911_1815_000,1831,9.0,11.0,7-8,7.5,25
18311125_0145_000,1831,11.0,25.0,5,5.0,1
18320311_0645_000,1832,3.0,11.0,6,6.0,14
18320311_0845_000,1832,3.0,11.0,6,6.0,14
18320313_0330_000,1832,3.0,13.0,7-8,7.5,97
18340704_0045_000,1834,7.0,4.0,7,7.0,24
18340214_1315_000,1834,2.0,14.0,9,9.0,112
18350425_0245_000,1835,4.0,25.0,5-6,5.5,6
18370411_1700_000,1837,4.0,11.0,10,10.0,60
18431025_0330_000,1843,10.0,25.0,7,7.0,17
18460814_1200_000,1846,8.0,14.0,10,10.0,121
18491128_1800_000,1849,11.0,28.0,6-7,6.5,7
18510205_0950_000,1851,2.0,5.0,5-6,5.5,30
18541229_0145_000,1854,12.0,29.0,7-8,7.5,86
18570201_0000_000,1857,2.0,1.0,6-7,6.5,22
18610316_0000_000,1861,3.0,16.0,7,7.0,2
18691213_0253_000,1869,12.0,13.0,5-6,5.5,13
18730312_2004_000,1873,3.0,12.0,9,9.0,196
18730629_0358_000,1873,6.0,29.0,9-10,9.5,197
18730917_0000_000,1873,9.0,17.0,6-7,6.5,64
18780607_2225_000,1878,6.0,7.0,7,7.0,34
18780910_1331_000,1878,9.0,10.0,6-7,6.5,12
18810722_0245_000,1881,7.0,22.0,7,7.0,145
18820215_0500_000,1882,2.0,15.0,6,6.0,18
18841127_2215_000,1884,11.0,27.0,7,7.0,63
18850124_2000_000,1885,1.0,24.0,6,6.0,4
18850226_2048_000,1885,2.0,26.0,6,6.0,78
18860905_0000_000,1886,9.0,5.0,7,7.0,101
18870223_0521_000,1887,2.0,23.0,10,10.0,1511
18870224_0150_000,1887,2.0,24.0,5,5.0,7
18870311_1445_000,1887,3.0,11.0,6-7,6.5,20
18870520_0412_000,1887,5.0,20.0,5,5.0,36
18890308_0257_000,1889,3.0,8.0,6,6.0,38
18891208_0000_000,1889,12.0,8.0,7,7.0,122
18910607_0106_000,1891,6.0,7.0,9,9.0,403
18920105_0000_000,1892,1.0,5.0,7,7.0,93
18920305_0000_000,1892,3.0,5.0,7-8,7.5,86
18920508_0000_000,1892,5.0,8.0,5,5.0,9
18920517_0308_000,1892,5.0,17.0,5-6,5.5,28
18941127_0507_000,1894,11.0,27.0,6,6.0,183
18951225_0447_000,1895,12.0,25.0,5,5.0,9
18950518_1955_000,1895,5.0,18.0,8,8.0,401
18950807_1949_000,1895,8.0,7.0,5-6,5.5,84
18961016_0000_000,1896,10.0,16.0,6,6.0,55
18970706_2044_000,1897,7.0,6.0,5,5.0,62
18970906_0310_000,1897,9.0,6.0,5-6,5.5,104
18971012_0000_000,1897,10.0,12.0,5,5.0,13
18980304_2105_000,1898,3.0,4.0,7-8,7.5,313
18990626_2317_000,1899,6.0,26.0,7,7.0,138
19000422_0000_000,1900,4.0,22.0,5,5.0,4
19001230_2336_000,1900,12.0,30.0,5,5.0,36
19010123_0017_000,1901,1.0,23.0,5,5.0,90
19010420_0935_000,1901,4.0,20.0,6,6.0,15
19010525_0359_000,1901,5.0,25.0,5,5.0,35
19011030_1449_000,1901,10.0,30.0,7-8,7.5,289
19021204_1635_000,1902,12.0,4.0,5-6,5.5,36
19020305_0706_000,1902,3.0,5.0,7,7.0,83
19020804_2236_000,1902,8.0,4.0,7,7.0,60
19030404_0141_000,1903,4.0,4.0,5,5.0,20
19030727_0346_000,1903,7.0,27.0,7-8,7.5,79
19040116_1628_000,1904,1.0,16.0,5,5.0,16
19040610_1115_000,1904,6.0,10.0,7,7.0,101
19041115_1916_000,1904,11.0,15.0,5-6,5.5,17
19041117_0502_000,1904,11.0,17.0,7,7.0,204
19050429_0146_000,1905,4.0,29.0,7-8,7.5,267
19050530_0455_000,1905,5.0,30.0,5-6,5.5,121
19060811_0958_000,1906,8.0,11.0,5-6,5.5,82
19061110_1755_000,1906,11.0,10.0,6,6.0,43
19080509_0401_000,1908,5.0,9.0,5,5.0,12
19090318_0251_000,1909,3.0,18.0,5-6,5.5,12
19090527_0610_000,1909,5.0,27.0,6,6.0,51
19090113_0045_000,1909,1.0,13.0,6-7,6.5,867
19100906_0320_000,1910,9.0,6.0,5,5.0,19
19100123_0150_000,1910,1.0,23.0,5,5.0,118
19110219_0718_000,1911,2.0,19.0,7,7.0,181
19120114_0311_000,1912,1.0,14.0,5,5.0,19
19120531_2140_000,1912,5.0,31.0,5-6,5.5,51
19130327_0225_000,1913,3.0,27.0,5,5.0,58
19131125_2055_000,1913,11.0,25.0,5,5.0,73
19131207_0128_000,1913,12.0,7.0,5,5.0,56
19141026_0345_000,1914,10.0,26.0,7,7.0,63
19141027_0922_000,1914,10.0,27.0,7,7.0,660
19150113_0652_000,1915,1.0,13.0,11,11.0,1041
19151010_2310_000,1915,10.0,10.0,6-7,6.5,30
19160517_1250_000,1916,5.0,17.0,8,8.0,132
19160816_0706_000,1916,8.0,16.0,8,8.0,257
19170107_0339_000,1917,1.0,7.0,5,5.0,32
19170501_0830_000,1917,5.0,1.0,5,5.0,9
