EqID,Year,Mo,Da,Imax,ImaxNum,MdpN,dist_km
10050000_0000_000,1005,,,7-8,7.5,4,218.14162324534388
10650327_1125_000,1065,3.0,27.0,8,8.0,2,167.67890640104014
11170103_1515_000,1117,1.0,3.0,9,9.0,55,123.79630754575535
11170103_1515_001,1117,1.0,3.0,7-8,7.5,5,179.306275686639
11480000_0000_000,1148,,,7,7.0,1,247.90330681598167
11680110_0000_000,1168,1.0,10.0,5-6,5.5,1,182.20346120066645
11740817_1800_000,1174,8.0,17.0,5-6,5.5,3,182.46696561358232
11820815_0000_000,1182,8.0,15.0,6,6.0,1,64.19405034379554
11831200_0000_000,1183,12.0,,6-7,6.5,1,264.19027384923237
11940000_0000_000,1194,,,7,7.0,3,253.31081771974237
11960000_0000_000,1196,,,6,6.0,1,218.14162324534388
12170108_0000_000,1217,1.0,8.0,5-6,5.5,1,64.19405034379554
12221225_1230_000,1222,12.0,25.0,HD,8.6,18,64.19405034379554
12340320_0000_000,1234,3.0,20.0,7,7.0,1,282.3935562978776
12421024_0000_000,1242,10.0,24.0,5-6,5.5,1,307.3107999289525
12460000_0000_002,1246,,,7-8,7.5,1,397.72128276104564
12490900_0000_000,1249,9.0,,7-8,7.5,2,203.14390282186633
12690000_0000_001,1269,,,HD,8.6,2,316.29460931717864
12760522_0000_000,1276,5.0,22.0,8-9,8.5,2,349.42781297629216
12760729_1830_000,1276,7.0,29.0,5-6,5.5,9,64.19405034379554
12770000_0000_001,1277,,,8,8.0,1,397.72128276104564
12790430_0000_000,1279,4.0,30.0,7-8,7.5,5,291.3728045965483
12790430_1800_000,1279,4.0,30.0,10,10.0,17,306.3801336859133
12800125_0000_000,1280,1.0,25.0,5-6,5.5,2,182.46696561358232
12840117_1530_000,1284,1.0,17.0,5,5.0,1,357.30208490797855
12851213_0000_000,1285,12.0,13.0,7,7.0,2,282.3935562978776
12870000_0000_001,1287,,,6-7,6.5,1,313.01653449914005
12930300_0000_000,1293,3.0,,8,8.0,1,218.14162324534388
12950903_0000_000,1295,9.0,3.0,HD,8.6,17,167.67890640104014
12981201_0000_000,1298,12.0,1.0,10,10.0,5,397.72128276104564
13030800_0000_000,1303,8.0,,HD,8.6,4,357.30208490797855
13041023_0045_000,1304,10.0,23.0,5,5.0,4,148.35532468397955
13041218_0200_000,1304,12.0,18.0,5-6,5.5,1,148.35532468397955
13060700_0000_000,1306,7.0,,6,6.0,1,187.14614139361882
13080125_1715_000,1308,1.0,25.0,7-8,7.5,1,348.87432662277155
13110000_0000_000,1311,,,6,6.0,1,108.8128970689469
13121014_1115_000,1312,10.0,14.0,5,5.0,1,148.35532468397955
13201216_0000_000,1320,12.0,16.0,7,7.0,1,267.36572148963563
13220000_0000_000,1322,,,5-6,5.5,1,182.20346120066645
13230225_1900_000,1323,2.0,25.0,5-6,5.5,2,224.0979323943156
13250521_0000_000,1325,5.0,21.0,5-6,5.5,1,247.90330681598167
13281201_0000_000,1328,12.0,1.0,10,10.0,13,377.35311912885896
13341204_0000_000,1334,12.0,4.0,6-7,6.5,1,264.19027384923237
13391116_1410_000,1339,11.0,16.0,6,6.0,1,282.3935562978776
13441111_0000_000,1344,11.0,11.0,5,5.0,1,184.7569535779271
13451222_0000_000,1345,12.0,22.0,6,6.0,1,247.90330681598167
13450131_0000_000,1345,1.0,31.0,5-6,5.5,1,202.24067365175438
13450912_0000_000,1345,9.0,12.0,6,6.0,1,247.90330681598167
13460208_0000_000,1346,2.0,8.0,5,5.0,1,224.0979323943156
13480125_1530_000,1348,1.0,25.0,9-10,9.5,89,156.48064832719277
13490909_0815_000,1349,9.0,9.0,8-9,8.5,9,182.20346120066645
13521225_0000_000,1352,12.0,25.0,9,9.0,7,253.31081771974237
13580000_0000_001,1358,,,6-7,6.5,1,322.06670627283336
13611227_0000_000,1361,12.0,27.0,6-7,6.5,1,267.36572148963563
