EqID,Year,Mo,Da,Imax,ImaxNum,MdpN,dist_km
10050000_0000_000,1005,,,7-8,7.5,4,218.14162324534388
10050000_0000_001,1005,,,7,7.0,1,545.0642590222837
10461109_0000_000,1046,11.0,9.0,HD,8.6,2,619.5270187990074
10650327_1125_000,1065,3.0,27.0,8,8.0,2,167.67890640104014
10910127_0000_000,1091,1.0,27.0,7,7.0,1,427.06016303728484
11170103_1515_000,1117,1.0,3.0,9,9.0,55,123.79630754575535
11170103_1515_001,1117,1.0,3.0,7-8,7.5,5,179.306275686639
11200325_0000_000,1120,3.0,25.0,8-9,8.5,4,543.7084915602019
11250607_1100_000,1125,6.0,7.0,8-9,8.5,1,985.9013343062679
11251011_0000_000,1125,10.0,11.0,7-8,7.5,1,632.7930387889445
11480000_0000_000,1148,,,7,7.0,1,247.90330681598167
11601015_0000_000,1160,10.0,15.0,HD,8.6,2,467.24955150597606
11610116_0600_000,1161,1.0,16.0,7,7.0,1,506.1334024087053
11690204_0700_000,1169,2.0,4.0,10,10.0,8,902.66169165448
11700509_0000_000,1170,5.0,9.0,8,8.0,1,506.1334024087053
11720926_1340_000,1172,9.0,26.0,8,8.0,1,902.66169165448
11840524_0000_000,1184,5.0,24.0,9,9.0,6,829.9986723038751
11940000_0000_000,1194,,,7,7.0,3,253.31081771974237
12090000_0000_000,1209,,,HD,8.6,2,
12221225_1230_000,1222,12.0,25.0,HD,8.6,18,64.19405034379554
12310601_1100_000,1231,6.0,1.0,8,8.0,3,427.06016303728484
12340320_0000_000,1234,3.0,20.0,7,7.0,1,282.3935562978776
12460000_0000_002,1246,,,7-8,7.5,1,397.72128276104564
12490900_0000_000,1249,9.0,,7-8,7.5,2,203.14390282186633
12580219_1630_000,1258,2.0,19.0,HD,8.6,2,540.1430706019672
12690900_0000_000,1269,9.0,,8,8.0,2,429.56439027308534
12690000_0000_001,1269,,,HD,8.6,2,316.29460931717864
12731218_0000_000,1273,12.0,18.0,8-9,8.5,1,734.8041307615377
12751102_0000_000,1275,11.0,2.0,8-9,8.5,1,602.9702322929945
12760522_0000_000,1276,5.0,22.0,8-9,8.5,2,349.42781297629216
12770000_0000_001,1277,,,8,8.0,1,397.72128276104564
12790430_0000_000,1279,4.0,30.0,7-8,7.5,5,291.3728045965483
12790430_1800_000,1279,4.0,30.0,10,10.0,17,306.3801336859133
12851213_0000_000,1285,12.0,13.0,7,7.0,2,282.3935562978776
12930300_0000_000,1293,3.0,,8,8.0,1,218.14162324534388
12930904_0000_000,1293,9.0,4.0,9,9.0,6,566.3888548252636
12940000_0000_001,1294,,,HD,8.6,1,
12950901_0300_000,1295,9.0,1.0,HD,8.6,1,
12950903_0000_000,1295,9.0,3.0,HD,8.6,17,167.67890640104014
12981201_0000_000,1298,12.0,1.0,10,10.0,5,397.72128276104564
13030800_0000_000,1303,8.0,,HD,8.6,4,357.30208490797855
13080125_1715_000,1308,1.0,25.0,7-8,7.5,1,348.87432662277155
13151203_0000_000,1315,12.0,3.0,HD,8.6,4,427.06016303728484
13201216_0000_000,1320,12.0,16.0,7,7.0,1,267.36572148963563
13281201_0000_000,1328,12.0,1.0,10,10.0,13,377.35311912885896
13480125_1530_000,1348,1.0,25.0,9-10,9.5,89,156.48064832719277
13480913_0000_000,1348,9.0,13.0,8,8.0,1,467.24955150597606
13490909_0000_000,1349,9.0,9.0,9,9.0,17,407.04141448444625
13490909_0000_001,1349,9.0,9.0,9,9.0,4,519.458663986786
13490909_0815_000,1349,9.0,9.0,8-9,8.5,9,182.20346120066645
13490909_0815_001,1349,9.0,9.0,10-11,10.5,24,490.2504615824452
13521225_0000_000,1352,12.0,25.0,9,9.0,7,253.31081771974237
13520125_0000_000,1352,1.0,25.0,7-8,7.5,1,936.8456362558354
13530422_0000_000,1353,4.0,22.0,HD,8.6,1,702.5797835927242
13610717_1715_000,1361,7.0,17.0,10,10.0,2,683.736513661091
13650725_1800_000,1365,7.0,25.0,7-8,7.5,1,253.31081771974237
13670000_0000_000,1367,,,7,7.0,1,544.2972837537683
