sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
360132,1077.66635,-9.04,,,,,,,872.33365
360131,1076.692872,-8.66,,,,,,,873.3071279999999
360130,1075.771558,-8.69,,,,,,,874.2284420000001
360129,1074.79251,-8.78,,,,,,,875.20749
360128,1073.854786,-8.76,,,,,,,876.1452139999999
360127,1073.010499,-8.92,,,,,,,876.989501
360126,1072.163535,-9.02,,,,,,,877.8364650000001
360125,1071.317429,-9.06,,,,,,,878.682571
360124,1070.47968,-8.9,,,,,,,879.5203200000001
360123,1069.646595,-9.19,,,,,,,880.3534050000001
360122,1068.796992,-9.24,,,,,,,881.203008
360121,1067.917766,-9.08,,,,,,,882.082234
360120,1067.080014,-8.95,,,,,,,882.9199860000001
360119,1066.072787,-9.17,,,,,,,883.9272129999999
360118,1065.155953,-8.97,,,,,,,884.844047
360117,1064.222632,-9.21,,,,,,,885.777368
360116,1063.285592,-9.12,,,,,,,886.714408
360115,1062.403648,-9.2,,,,,,,887.596352
360114,1061.501626,-9.24,,,,,,,888.498374
360113,1060.579115,-9.01,,,,,,,889.420885
360112,1059.849381,-8.86,,,,,,,890.150619
360111,1058.894624,-8.72,,,,,,,891.105376
360110,1058.031912,-8.65,,,,,,,891.9680880000001
360109,1057.059166,-8.72,,,,,,,892.940834
360108,1056.164375,-8.46,,,,,,,893.8356249999999
360107,1055.168366,-8.69,,,,,,,894.8316339999999
360106,1054.194045,-8.62,,,,,,,895.805955
360105,1053.159383,-8.61,,,,,,,896.8406170000001
360104,1052.120278,-8.61,,,,,,,897.8797219999999
360103,1051.263122,-8.55,,,,,,,898.7368779999999
360102,1050.399394,-8.97,,,,,,,899.600606
360101,1049.356428,-8.98,,,,,,,900.643572
360100,1048.545077,-8.88,,,,,,,901.454923
360099,1047.621011,-9.07,,,,,,,902.378989
360098,1046.696944,-9.1,,,,,,,903.303056
360097,1045.772878,-9.21,,,,,,,904.227122
360096,1044.7793,-8.43,,,,,,,905.2207000000001
360095,1043.876216,-8.63,,,,,,,906.1237839999999
360094,1043.00902,-8.65,,,,,,,906.99098
360093,1042.138703,-8.36,,,,,,,907.8612969999999
360092,1041.248231,-8.38,,,,,,,908.751769
360091,1040.40119,-8.27,,,,,,,909.59881
360090,1039.508283,-8.43,,,,,,,910.4917170000001
360089,1038.60703,-8.34,,,,,,,911.3929700000001
360088,1037.705944,-8.47,,,,,,,912.294056
360087,1036.917928,-8.99,,,,,,,913.0820719999999
360086,1036.057406,-9.11,,,,,,,913.9425940000001
360085,1035.151225,-9.26,,,,,,,914.8487749999999
360084,1034.188335,-9.24,,,,,,,915.811665
360083,1033.254751,-9.14,,,,,,,916.7452490000001
360082,1032.238356,-9.18,,,,,,,917.7616439999999
360081,1031.352199,-9.07,,,,,,,918.6478010000001
360080,1030.62869,-9.07,,,,,,,919.37131
360079,1029.674435,-9.12,,,,,,,920.3255650000001
360078,1028.822664,-9.1,,,,,,,921.177336
360077,1028.100567,-8.92,,,,,,,921.899433
360076,1027.202069,-8.7,,,,,,,922.7979310000001
360075,1026.359386,-8.7,,,,,,,923.6406139999999
360074,1025.505525,-8.77,,,,,,,924.494475
360073,1024.602384,-8.68,,,,,,,925.397616
360072,1023.654206,-8.63,,,,,,,926.345794
360071,1022.708013,-8.56,,,,,,,927.291987
360070,1021.592428,-8.74,,,,,,,928.407572
360069,1020.63104,-9.08,,,,,,,929.36896
360068,1019.85863,-9.3,,,,,,,930.14137
360067,1018.975074,-9.26,,,,,,,931.024926
