sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
296985,1181.460894,-4.99,-9.14,,,,,,768.539106
296984,1178.940411,-5.36,-9.54,,,,,,771.059589
296983,1176.435578,-4.81,-8.2,,,,,,773.5644219999999
296982,1173.944266,-5.14,-9.1,,,,,,776.055734
296981,1171.462445,-4.58,-7.72,,,,,,778.5375550000001
296980,1168.971592,-5.13,-9.7,,,,,,781.0284079999999
296979,1166.575275,-4.52,-7.95,,,,,,783.4247250000001
296978,1164.109085,-4.87,-10.03,,,,,,785.890915
296977,1161.570011,-4.93,-9.62,,,,,,788.429989
296976,1156.720039,-4.94,-9.54,,,,,,793.279961
296975,1154.345447,-5.14,-9.95,,,,,,795.6545530000001
296974,1152.066347,-4.93,-9.61,,,,,,797.933653
296973,1149.422024,-4.94,-8.93,,,,,,800.577976
296972,1147.025262,-4.89,-9.16,,,,,,802.9747379999999
296971,1144.636965,-5.03,-9.98,,,,,,805.3630350000001
296970,1142.145114,-5.05,-9.54,,,,,,807.8548860000001
296969,1140.571156,-5.12,-9.41,,,,,,809.428844
296968,1138.993643,-4.85,-9.39,,,,,,811.006357
296967,1137.396214,-4.95,-9.18,,,,,,812.6037859999999
296966,1135.934679,-4.8,-9.33,,,,,,814.065321
296965,1134.309955,-5.04,-9.21,,,,,,815.690045
296964,1132.723609,-4.69,-9.53,,,,,,817.2763910000001
296963,1131.136179,-4.92,-9.79,,,,,,818.8638209999999
296962,1129.505244,-4.65,-8.85,,,,,,820.494756
296961,1127.937869,-4.92,-9.31,,,,,,822.0621309999999
296960,1126.35894,-4.73,-9.06,,,,,,823.6410599999999
296959,1124.81623,-4.87,-9.08,,,,,,825.1837700000001
296958,1123.212901,-4.89,-9.91,,,,,,826.7870989999999
296957,1121.645027,-4.99,-9.36,,,,,,828.354973
296956,1120.075044,-4.82,-9.53,,,,,,829.9249560000001
296955,1118.474853,-5.06,-10.15,,,,,,831.5251470000001
296954,1116.839271,-4.99,-9.91,,,,,,833.160729
296953,1115.235012,-5.0,-10.03,,,,,,834.7649879999999
296952,1113.57181,-4.96,-9.73,,,,,,836.4281900000001
296951,1111.978039,-5.12,-10.11,,,,,,838.0219609999999
296950,1110.347864,-5.2,-9.37,,,,,,839.6521359999999
296949,1108.739509,-5.19,-10.21,,,,,,841.260491
296948,1107.103431,-5.23,-9.68,,,,,,842.896569
296947,1105.478088,-5.76,-10.06,,,,,,844.5219119999999
296946,1104.025942,-5.25,-9.7,,,,,,845.974058
296945,1102.291598,-5.44,-10.29,,,,,,847.708402
296944,1100.734472,-5.53,-10.25,,,,,,849.2655279999999
296943,1099.143771,-5.25,-10.24,,,,,,850.856229
296942,1097.551937,-5.28,-10.06,,,,,,852.448063
296941,1095.912611,-5.16,-9.91,,,,,,854.087389
296940,1094.404462,-4.77,-8.95,,,,,,855.595538
296939,1092.815353,-5.46,-10.28,,,,,,857.184647
296938,1091.205815,-5.09,-10.04,,,,,,858.794185
296937,1089.512506,-5.04,-9.98,,,,,,860.487494
296936,1087.837365,-5.11,-10.23,,,,,,862.1626349999999
296935,1086.268364,-4.91,-9.15,,,,,,863.731636
