depth_sample,interp_age,sample_thickness,d18O_measurement,d13C_measurement,Mg_Ca_measurement,P_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,year_CE
0.0,-62.0,0.2,-3.668,-4.6915,1.87936852380952,0.350983557142857,0.102556809523809,5.886496e-05,2012.0
0.2,-61.0,0.2,-2.81181980655,-3.90025,2.13128534615384,0.308690176923076,0.0973401153846153,5.75927719230769e-05,2011.0
0.4,-60.0,0.2,-2.812,-3.90025,2.11818738461538,0.252512007692307,0.108745269230769,4.8758443076923e-05,2010.0
0.6,-59.0,0.2,-3.344,-4.079875,2.44146729629629,0.323535107407407,0.109605259259259,5.3234924074074e-05,2009.0
0.8,-58.0,0.2,-2.846,-3.634,2.29457911538461,0.350152353846153,0.0937426153846154,4.99010899999999e-05,2008.0
1.0,-57.0,0.2,-3.144,-3.76625,2.07831519230769,0.33305618076923,0.0978104615384615,5.60095573076923e-05,2007.0
1.2,-56.0,0.25,-3.539,-4.212875,2.289432125,0.309156487499999,0.08433803125,6.18621571875e-05,2006.0
1.45,-54.0,0.15,-3.702,-4.887375,2.0726652,0.266237145,0.088204,4.33748949999999e-05,2004.0
1.6,-53.0,0.2,-3.268,-5.0425,1.9378183076923,0.293971503846153,0.0792133461538461,5.36848538461538e-05,2003.0
1.8,-52.0,0.2,-3.791,-4.59875,2.24554473076923,0.370769542307692,0.0652644615384615,5.49892865384615e-05,2002.0
2.0,-51.0,0.2,-3.885,-4.123,2.1655383076923,0.422087292307692,0.078837423076923,5.49352738461538e-05,2001.0
2.2,-50.0,0.2,-4.004,-4.23,1.74388515384615,0.387547942307692,0.103655423076923,5.02341076923076e-05,2000.0
2.4,-49.0,0.2,-3.551,-4.58125,1.79151357692307,0.361236996153846,0.100707,4.73740511538461e-05,1999.0
2.6,-47.0,0.2,-3.752,-5.3875,1.98120126923076,0.637491584615384,0.121176038461538,4.28668569230769e-05,1997.0
2.8,-46.0,0.2,-4.281,-6.240625,2.03529707692307,0.593413723076923,0.114131384615384,5.24518684615384e-05,1996.0
3.0,-45.0,0.2,-4.278,-6.06745,1.6246903076923,0.465078196153846,0.0922447692307692,5.57528723076923e-05,1995.0
3.2,-44.0,0.2,-4.086,-5.345,1.80152961538461,0.473973411538461,0.10648123076923,0.0001968112434615,1994.0
3.4,-43.0,0.2,-4.096,-5.3245,1.90907076923076,0.337150396153846,0.0871587692307692,5.47392896153846e-05,1993.0
3.6,-41.0,0.2,-4.432,-5.27725,1.80558846153846,0.332828184615384,0.0734297307692307,5.06546273076923e-05,1991.0
3.8,-40.0,0.2,-4.207,-5.020875,2.08896188461538,0.245393819230769,0.0859093846153846,3.85761638461538e-05,1990.0
4.0,-39.0,0.2,-3.982,-4.65775,1.79407111111111,0.30325447037037,0.0884547407407407,3.7068087037037e-05,1989.0
4.2,-38.0,0.2,-4.042,-5.096625,1.70508857692307,0.269563788461538,0.0975941538461538,4.32592434615384e-05,1988.0
4.4,-37.0,0.199999999999999,-4.397,-5.522375,1.83982169230769,0.285293434615384,0.0854592307692307,3.68558815384615e-05,1987.0
