sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
166941,8185.655768,-9.128,-6.263,,,,,,-6235.655768
166940,8166.44774,-9.197,-6.278,,,,,,-6216.44774
166939,8148.181404,-9.184,-6.431,,,,,,-6198.181404
166938,8129.500593,-9.016,-6.338,,,,,,-6179.500593
166937,8111.077625,-9.041,-6.333,,,,,,-6161.077625
166936,8101.988676,-9.045,-6.417,,,,,,-6151.988676
166935,8082.7702,-9.01,-6.224,,,,,,-6132.7702
166934,8065.137636,-8.915,-6.098,,,,,,-6115.137636
166933,8055.663604,-9.067,-5.88,,,,,,-6105.663604
166932,8037.371707,-8.979,-5.692,,,,,,-6087.371707
166931,8018.621249,-8.959,-5.596,,,,,,-6068.621249
166930,8008.688262,-8.99,-5.608,,,,,,-6058.688262
166929,7990.453524,-9.111,-5.58,,,,,,-6040.453524
166928,7971.972604,-8.899,-5.509,,,,,,-6021.972604
166927,7954.547286,-8.915,-5.348,,,,,,-6004.547286
166926,7934.559427,-8.982,-4.978,,,,,,-5984.559427
166925,7924.929942,-8.978,-4.751,,,,,,-5974.929942
166924,7914.561461,-9.037,-4.662,,,,,,-5964.561461
166923,7896.303818,-8.965,-4.558,,,,,,-5946.303818
166922,7878.226791,-8.909,-4.719,,,,,,-5928.226791
166921,7868.025995,-8.928,-4.499,,,,,,-5918.025995
166920,7850.568485,-9.023,-4.25,,,,,,-5900.568485
166919,7830.619582,-9.022,-4.191,,,,,,-5880.619582
166918,7812.029883,-9.095,-4.458,,,,,,-5862.029883
166917,7793.04964,-9.086,-4.39,,,,,,-5843.04964
166916,7783.410476,-9.024,-4.198,,,,,,-5833.410476
166915,7773.140822,-9.119,-4.015,,,,,,-5823.140822
166914,7752.35689,-9.105,-4.002,,,,,,-5802.35689
166913,7732.478533,-9.145,-4.204,,,,,,-5782.478533
166912,7721.656415,-9.22,-4.131,,,,,,-5771.656415
166911,7701.873309,-9.149,-4.11,,,,,,-5751.873309
166910,7693.204483,-9.227,-4.112,,,,,,-5743.204483
166909,7684.131716,-9.262,-4.235,,,,,,-5734.131716
166908,7663.828303,-9.381,-4.509,,,,,,-5713.828303
166907,7645.166169,-9.381,-4.546,,,,,,-5695.166169
166906,7636.114121,-9.589,-4.878,,,,,,-5686.114121
166905,7626.655405,-9.555,-4.755,,,,,,-5676.655405
166904,7607.25809,-9.617,-4.828,,,,,,-5657.25809
166903,7589.261681,-9.73,-4.932,,,,,,-5639.261681
166902,7578.470955,-9.4,-5.098,,,,,,-5628.470955
166901,7560.050694,-9.465,-5.087,,,,,,-5610.050694
166900,7542.274513,-9.388,-4.799,,,,,,-5592.274513
166899,7532.888743,-9.236,-4.535,,,,,,-5582.888743
166898,7512.635221,-9.092,-4.33,,,,,,-5562.635221
166897,7502.548809,-9.252,-4.656,,,,,,-5552.548809
166896,7493.077978,-9.007,-4.468,,,,,,-5543.077978
166895,7472.101087,-9.045,-4.682,,,,,,-5522.101087
166894,7461.747277,-9.016,-4.454,,,,,,-5511.747277
166893,7451.364189,-9.191,-4.529,,,,,,-5501.364189
166892,7442.766423,-9.146,-4.764,,,,,,-5492.766423
166891,7432.998372,-9.086,-4.499,,,,,,-5482.998372
166890,7412.53542,-9.368,-4.76,,,,,,-5462.53542
166889,7394.298616,-9.572,-4.945,,,,,,-5444.298616
166888,7363.323125,-9.619,-5.259,,,,,,-5413.323125
166887,7341.925138,-9.316,-4.909,,,,,,-5391.925138
166886,7327.588867,-9.19,-4.866,,,,,,-5377.588867
166885,7323.475158,-9.335,-4.662,,,,,,-5373.475158
166884,7318.975047,-9.133,-4.673,,,,,,-5368.975047
166883,7311.795788,-9.033,-4.224,,,,,,-5361.795788
166882,7305.328584,-9.001,-4.215,,,,,,-5355.328584
166881,7297.686562,-9.234,-4.435,,,,,,-5347.686562
166880,7289.885049,-9.22,-4.359,,,,,,-5339.885049
166879,7283.109504,-9.203,-4.398,,,,,,-5333.109504
166878,7275.371325,-9.382,-4.339,,,,,,-5325.371325
166877,7267.107518,-9.51,-4.051,,,,,,-5317.107518
166876,7259.997434,-9.466,-4.125,,,,,,-5309.997434
166875,7252.287987,-9.186,-4.187,,,,,,-5302.287987
166874,7245.615248,-9.24,-4.251,,,,,,-5295.615248
166873,7237.549183,-9.274,-4.143,,,,,,-5287.549183
166872,7229.99436,-9.116,-4.209,,,,,,-5279.99436
166871,7221.612929,-9.105,-4.509,,,,,,-5271.612929
166870,7216.048322,-9.109,-4.582,,,,,,-5266.048322
166869,7208.479271,-9.241,-4.696,,,,,,-5258.479271
166868,7202.67392,-9.04,-4.767,,,,,,-5252.67392
166867,7194.938156,-9.107,-4.605,,,,,,-5244.938156
166866,7187.959667,-9.161,-4.169,,,,,,-5237.959667
166865,7179.293107,-9.245,-4.279,,,,,,-5229.293107
166864,7173.204128,-9.167,-4.411,,,,,,-5223.204128
166863,7164.531925,-9.193,-4.547,,,,,,-5214.531925
166862,7157.41331,-9.192,-4.887,,,,,,-5207.41331
166861,7149.946051,-9.429,-4.696,,,,,,-5199.946051
166860,7143.176233,-9.12,-4.765,,,,,,-5193.176233
166859,7135.105706,-9.094,-4.648,,,,,,-5185.105706
166858,7128.676905,-9.14,-4.87,,,,,,-5178.676905
166857,7120.186541,-9.217,-4.813,,,,,,-5170.186541
166856,7113.362347,-9.231,-5.072,,,,,,-5163.362347
166855,7105.317182,-9.166,-5.091,,,,,,-5155.317182
166854,7098.16687,-9.231,-5.374,,,,,,-5148.16687
166853,7090.042084,-9.43,-4.772,,,,,,-5140.042084
166852,7082.70079,-9.329,-5.048,,,,,,-5132.70079
166851,7074.690698,-9.291,-5.142,,,,,,-5124.690698
166850,7067.622376,-9.467,-5.813,,,,,,-5117.622376
166849,7059.753511,-9.625,-5.44,,,,,,-5109.753511
166848,7052.166736,-9.554,-5.687,,,,,,-5102.166736
166847,7043.804879,-9.515,-5.808,,,,,,-5093.804879
166846,7036.488291,-9.546,-6.354,,,,,,-5086.488291
166845,7028.334183,-9.762,-6.583,,,,,,-5078.334183
166844,7021.210931,-9.65,-6.663,,,,,,-5071.210931
166843,7013.032116,-9.381,-6.189,,,,,,-5063.032116
166842,7006.114569,-9.591,-6.437,,,,,,-5056.114569
166841,6998.027978,-9.739,-6.434,,,,,,-5048.027978
166840,6990.801834,-9.583,-6.123,,,,,,-5040.801834
166839,6982.798749,-9.34,-4.623,,,,,,-5032.798749
166838,6975.957821,-9.448,-6.478,,,,,,-5025.957821
166837,6967.527942,-9.723,-6.685,,,,,,-5017.527942
166836,6960.691609,-9.522,-6.126,,,,,,-5010.691609
166835,6952.114896,-9.508,-6.186,,,,,,-5002.114896
166834,6945.281481,-9.558,-6.656,,,,,,-4995.281481
166833,6937.110337,-9.814,-6.695,,,,,,-4987.110337
166832,6930.35806,-9.718,-6.077,,,,,,-4980.35806
166831,6922.051972,-9.478,-6.328,,,,,,-4972.051972
166830,6915.145307,-9.662,-5.584,,,,,,-4965.145307
166829,6906.857414,-9.425,-4.742,,,,,,-4956.857414
166828,6899.685897,-9.465,-4.938,,,,,,-4949.685897
166827,6891.881305,-9.341,-5.226,,,,,,-4941.881305
166826,6889.154028,-9.274,-5.663,,,,,,-4939.154028
166825,6884.946545,-9.468,-3.764,,,,,,-4934.946545
166824,6877.370389,-9.281,-4.384,,,,,,-4927.370389
166823,6870.175156,-9.46,-4.17,,,,,,-4920.175156
166822,6862.50387,-9.303,-4.688,,,,,,-4912.50387
166821,6855.473845,-9.308,-4.801,,,,,,-4905.473845
166820,6847.009004,-9.251,-4.885,,,,,,-4897.009004
166819,6840.150187,-9.205,-4.818,,,,,,-4890.150187
166818,6812.691145,-9.282,-4.787,,,,,,-4862.691145
166817,6780.019771,-9.255,-4.823,,,,,,-4830.019771
166816,6758.272958,-9.204,-4.792,,,,,,-4808.272958
166815,6749.177105,-9.213,-4.816,,,,,,-4799.177105
166814,6729.130814,-9.187,-4.777,,,,,,-4779.130814
166813,6697.226867,-9.375,-4.826,,,,,,-4747.226867
166812,6642.247508,-9.19,-4.837,,,,,,-4692.247508
166811,6614.83837,-9.172,-4.794,,,,,,-4664.83837
166810,6586.554075,-9.148,-4.81,,,,,,-4636.554075
166809,6546.681456,-9.184,-4.713,,,,,,-4596.681456
166808,6545.087005,-9.056,-4.685,,,,,,-4595.087005
166807,6543.258527,-9.188,-4.685,,,,,,-4593.258527
