sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
104581,1974.899015,-3.57,-8.54,,,,,,-24.899014999999963
104580,1974.643728,-3.51,-8.76,,,,,,-24.64372800000001
104579,1974.387847,-3.51,-8.67,,,,,,-24.387846999999965
104578,1974.16419,-3.56,-8.83,,,,,,-24.164189999999962
104577,1973.920573,-3.85,-9.02,,,,,,-23.920573000000104
104576,1973.708402,-3.76,-8.86,,,,,,-23.708401999999978
104575,1973.434465,-3.9,-8.92,,,,,,-23.434465000000046
104574,1973.209392,-3.73,-8.84,,,,,,-23.20939199999998
104573,1972.98101,-3.81,-8.83,,,,,,-22.98100999999997
104572,1972.739155,-3.97,-8.91,,,,,,-22.739154999999982
104571,1972.455042,-4.07,-8.99,,,,,,-22.45504200000005
104570,1972.154518,-3.7,-8.74,,,,,,-22.154518000000053
104569,1971.885879,-3.97,-8.82,,,,,,-21.88587899999993
104568,1971.662165,-3.71,-8.78,,,,,,-21.66216499999996
104567,1971.419758,-3.68,-8.75,,,,,,-21.419758
104566,1971.200327,-3.84,-8.89,,,,,,-21.200327000000016
104565,1970.94531,-4.0,-8.97,,,,,,-20.945310000000063
104564,1970.687457,-3.76,-8.94,,,,,,-20.687456999999995
104563,1970.394947,-3.66,-8.88,,,,,,-20.394947000000002
104562,1970.144041,-3.59,-8.88,,,,,,-20.144041000000016
104561,1969.883586,-3.59,-8.83,,,,,,-19.883585999999923
104560,1969.638493,-3.76,-9.14,,,,,,-19.638492999999926
104559,1969.389016,-3.68,-9.18,,,,,,-19.389016000000083
104558,1969.13911,-3.73,-9.13,,,,,,-19.139110000000073
104557,1968.874831,-3.82,-9.25,,,,,,-18.874831000000086
104556,1968.60668,-3.6,-9.25,,,,,,-18.606680000000097
104555,1968.343531,-3.52,-9.2,,,,,,-18.343530999999984
104554,1968.104633,-3.77,-9.35,,,,,,-18.10463299999992
104553,1967.828334,-3.61,-9.24,,,,,,-17.82833400000004
104552,1967.592272,-3.77,-9.26,,,,,,-17.592272000000094
104551,1967.29114,-3.73,-9.12,,,,,,-17.29114000000004
104550,1967.039905,-3.85,-8.95,,,,,,-17.03990500000009
104549,1966.823406,-3.89,-8.83,,,,,,-16.823405999999977
104548,1966.604784,-3.88,-8.71,,,,,,-16.60478400000011
104547,1966.343327,-4.15,-8.64,,,,,,-16.343327000000045
104546,1966.092129,-4.21,-8.48,,,,,,-16.092129000000114
104545,1965.834978,-4.2,-8.54,,,,,,-15.834978000000092
104544,1965.557626,-4.44,-8.66,,,,,,-15.557626000000027
104543,1965.341632,-4.11,-8.48,,,,,,-15.34163199999989
104542,1965.052642,-4.17,-8.63,,,,,,-15.052642000000105
