sample_id,depth_mm,age_BP,d18O,d18O_prec
296314,0,-50,-5.02,0.08
296315,1,-48.16,-5.03,0.08
296316,2,-46.32,-5.06,0.08
296317,3,-44.48,-5.01,0.08
296318,4,-42.64,-5.06,0.08
296319,5,-40.8,-5.13,0.08
296320,6,-38.96,-5.72,0.08
296321,7,-37.12,-5.2,0.08
296322,8,-35.28,-5.23,0.08
296323,9,-33.44,-5.12,0.08
296324,10,-31.6,-5.17,0.08
296325,11,-29.76,-5.47,0.08
296326,12,-27.92,-5.35,0.08
296327,13,-26.08,-5.35,0.08
296328,14,-24.24,-5.3,0.08
296329,15,-22.4,-5.2,0.08
296330,16,-20.56,-5,0.08
296331,17,-18.72,-5.06,0.08
296332,18,-16.88,-5.08,0.08
296333,19,-15.04,-5.16,0.08
296334,20,-13.2,-5.28,0.08
296335,21,-11.36,-5.1,0.08
296336,22,-9.52,-5.19,0.08
296337,23,-7.68,-5.39,0.08
296338,24,-5.84,-5.15,0.08
296339,25,-4,-5.19,0.08
296340,26,-2.16,-5.21,0.08
296341,27,-0.32,-5.2,0.08
296342,28,1.52,-5.18,0.08
296343,29,3.36,-5.38,0.08
296344,30,5.2,-5.32,0.08
296345,31,7.04,-5.34,0.08
296346,32,8.88,-5.08,0.08
296347,33,10.72,-5.28,0.08
296348,34,12.56,-5.11,0.08
296349,35,14.4,-5.09,0.08
296350,36,16.24,-5.23,0.08
296351,37,18.08,-5.29,0.08
296352,38,19.92,-5.42,0.08
296353,39,21.76,-5.31,0.08
296354,40,23.6,-5.49,0.08
296355,41,25.44,-5.39,0.08
296356,42,27.28,-5.6,0.08
296357,43,29.12,-5.46,0.08
296358,44,30.96,-5.57,0.08
296359,45,32.8,-5.59,0.08
296360,46,34.64,-5.66,0.08
296361,47,36.48,-5.35,0.08
296362,48,38.32,-5.36,0.08
296363,49,40.16,-5.35,0.08
296364,50,42,-5.51,0.08
296365,51,43.84,-5.32,0.08
296366,52,45.68,-5.34,0.08
296367,53,47.52,-5.46,0.08
296368,54,49.36,-5.44,0.08
296369,55,51.2,-5.61,0.08
296370,56,53.04,-5.4,0.08
296371,57,54.88,-5.39,0.08
296372,58,56.72,-5.58,0.08
296373,59,58.56,-5.48,0.08
296374,60,60.4,-5.52,0.08
296375,61,62.24,-5.43,0.08
296376,62,64.08,-5.47,0.08
296377,63,65.92,-5.57,0.08
296378,64,67.76,-5.31,0.08
296379,65,69.6,-5.33,0.08
296380,66,71.44,-5.41,0.08
296381,67,73.28,-5.19,0.08
296382,68,75.12,-5.34,0.08
296383,69,76.96,-5.14,0.08
296384,70,78.8,-5.3,0.08
296385,71,80.64,-5.5,0.08
296386,72,82.48,-5.36,0.08
296387,73,84.32,-5.52,0.08
296388,74,86.16,-5.25,0.08
296389,75,88,-5.24,0.08
296390,76,89.84,-5.15,0.08
296391,77,91.68,-5.28,0.08
296392,78,93.52,-5.77,0.08
296393,79,95.36,-5.52,0.08
296394,81,99.04,-5.73,0.08
296395,82,100.88,-5.76,0.08
296396,83,102.72,-5.42,0.08
296397,84,104.56,-5.41,0.08
296398,85,106.4,-5.27,0.08
296399,86,108.24,-5.51,0.08
296400,87,110.08,-5.54,0.08
296401,88,111.92,-5.25,0.08
296402,89,113.76,-5.25,0.08
296403,90,115.6,-5.47,0.08
296404,91,117.44,-5.74,0.08
296405,92,119.28,-5.63,0.08
296406,93,121.12,-5.57,0.08
296407,94,122.96,-5.64,0.08
296408,95,124.8,-5.76,0.08
296409,96,126.64,-5.58,0.08
296410,97,128.48,-5.54,0.08
296411,98,130.32,-5.45,0.08
296412,99,132.16,-5.42,0.08
296413,100,134,-5.53,0.08
296414,101,135.84,-5.58,0.08
296415,102,137.68,-5.64,0.08
296416,103,139.52,-5.12,0.08
296417,104,141.36,-5.66,0.08
296418,106,145.04,-5.5,0.08
296419,107,146.88,-5.46,0.08
296420,108,148.72,-5.4,0.08
296421,109,150.56,-5.57,0.08
296422,110,152.4,-5.55,0.08
296423,111,154.24,-5.62,0.08
296424,112,156.08,-5.66,0.08
296425,113,157.92,-5.9,0.08
296426,114,159.76,-5.65,0.08
296427,115,161.6,-5.56,0.08
296428,116,163.44,-5.35,0.08
296429,117,165.28,-5.59,0.08
296430,118,167.12,-5.42,0.08
296431,119,168.96,-5.65,0.08
296432,120,170.8,-5.41,0.08
296433,121,172.64,-5.72,0.08
296434,122,174.48,-5.57,0.08
296435,123,176.32,-5.5,0.08
296436,124,178.16,-5.55,0.08
296437,125,180,-5.8,0.08
296438,126,181.84,-6.07,0.08
296439,127,183.68,-5.72,0.08
296440,128,185.52,-5.52,0.08
296441,129,187.36,-5.76,0.08
296442,130,189.2,-5.63,0.08
296443,131,191.04,-5.72,0.08
296444,132,192.88,-5.55,0.08
296445,133,194.72,-5.43,0.08
296446,134,196.56,-5.38,0.08
296447,135,198.4,-5.46,0.08
296448,136,200.24,-5.26,0.08
296449,137,202.08,-5.43,0.08
296450,138,203.92,-5.46,0.08
296451,139,205.76,-5.47,0.08
296452,140,207.6,-5.35,0.08
296453,141,209.44,-5.03,0.08
296454,142,211.28,-5.51,0.08
296455,143,213.12,-5.43,0.08
296456,144,214.96,-5.27,0.08
296457,145,216.8,-5.6,0.08
296458,146,218.64,-5.47,0.08
296459,147,220.48,-5.22,0.08
296460,148,222.32,-5.71,0.08
296461,149,224.16,-5.39,0.08
296462,150,226,-5.31,0.08
296463,152,229.68,-5.43,0.08
296464,153,231.52,-5.27,0.08
296465,154,233.36,-4.93,0.08
296466,155,235.2,-5.26,0.08
296467,156,237.04,-5.2,0.08
296468,157,238.88,-5.46,0.08
296469,158,240.72,-5.47,0.08
296470,159,242.56,-5.29,0.08
296471,160,244.4,-5.86,0.08
296472,161,246.24,-5.31,0.08
296473,162,248.08,-5.55,0.08
296474,163,249.92,-5.52,0.08
296475,164,251.76,-5.39,0.08
296476,165,253.6,-5.22,0.08
296477,166,255.44,-5.38,0.08
296478,167,257.28,-5.34,0.08
296479,168,259.12,-5.33,0.08
296480,169,260.96,-5.51,0.08
296481,170,262.8,-5.06,0.08
296482,171,264.64,-5.38,0.08
296483,172,266.48,-5.76,0.08
296484,173,268.32,-5.33,0.08
296485,174,270.16,-5.33,0.08
296486,175,272,-5.76,0.08
296487,176,273.84,-5.04,0.08
296488,177,275.68,-5.05,0.08
296489,178,277.52,-4.94,0.08
296490,179,279.36,-4.92,0.08
296491,180,281.2,-5.09,0.08
296492,181,283.04,-4.98,0.08
296493,182,284.88,-5.14,0.08
296494,183,286.72,-5.29,0.08
296495,184,288.56,-5.1,0.08
296496,185,290.4,-4.91,0.08
296497,186,292.24,-4.43,0.08
296498,187,294.08,-5.06,0.08
296499,188,295.92,-4.93,0.08
296500,189,297.76,-5.02,0.08
296501,190,299.6,-5.1,0.08
296502,191,301.44,-5.31,0.08
296503,192,303.28,-5.12,0.08
296504,193,305.12,-5.37,0.08
296505,194,306.96,-5.13,0.08
296506,195,308.8,-5.34,0.08
296507,196,310.64,-4.98,0.08
296508,197,312.48,-5.04,0.08
