sample_id,depth_mm,age_BP,d18O,d18O_prec
295161,0,61,-2.82,0.08
295162,0.2,83.5,-2.35,0.08
295163,0.4,105.9,-2.61,0.08
295164,0.6,128.3,-2.59,0.08
295165,0.8,150.8,-2.89,0.08
295166,1,173.3,-2.93,0.08
295167,1.2,195.9,-2.68,0.08
295168,1.4,218.6,-2.83,0.08
295169,1.6,241.3,-2.85,0.08
295170,1.8,264.1,-3.05,0.08
295171,2,287,-2.88,0.08
295172,2.2,310.1,-3.08,0.08
295173,2.4,333.2,-2.99,0.08
295174,2.6,356.5,-3.45,0.08
295175,2.8,379.9,-2.98,0.08
295176,3,403.4,-2.99,0.08
295177,3.2,427,-3.16,0.08
295178,3.4,450.8,-3.12,0.08
295179,3.6,474.6,-2.99,0.08
295180,3.8,498.6,-3.14,0.08
295181,4,522.6,-2.97,0.08
295182,4.2,546.8,-3.35,0.08
295183,4.4,571.1,-3.3,0.08
295184,4.6,595.4,-3.67,0.08
295185,4.8,619.8,-3.55,0.08
295186,5,644.2,-3.36,0.08
295187,5.2,668.6,-3.42,0.08
295188,5.4,692.9,-3.47,0.08
295189,5.6,717.3,-3.58,0.08
295190,5.8,741.6,-3.29,0.08
295191,6,765.8,-3.4,0.08
295192,6.2,790,-3.58,0.08
295193,6.4,814.1,-3.53,0.08
295194,6.6,838,-3.54,0.08
295195,6.8,862,-3.46,0.08
295196,7,885.9,-3.67,0.08
295197,7.2,909.7,-3.6,0.08
295198,7.4,933.5,-3.49,0.08
295199,7.6,957.3,-3.61,0.08
295200,7.8,981.1,-3.41,0.08
295201,8,1004.9,-3.21,0.08
295202,8.2,1028.7,-3.05,0.08
295203,8.4,1052.5,-2.86,0.08
295204,8.6,1076.4,-2.46,0.08
295205,8.8,1100.4,-2.3,0.08
295206,9,1124.6,-2.42,0.08
295207,9.2,1148.9,-2.45,0.08
295208,9.4,1173.3,-2.89,0.08
295209,9.6,1198,-2.28,0.08
295210,9.8,1222.9,-2.61,0.08
295211,10,1248.1,-2.41,0.08
295212,10.4,1299.2,-2.45,0.08
295213,10.6,1325,-2.37,0.08
295214,10.8,1350.8,-2.38,0.08
295215,11,1376.4,-2.41,0.08
295216,11.2,1401.9,-2.74,0.08
295217,11.4,1427.1,-2.5,0.08
