sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
459281,2.5,15320.1,0.71,0.08,5.31,NA
459282,3,15371.4,0.68,0.08,5.72,NA
459283,3.5,15423,1.55,0.08,5.91,NA
459284,4,15474.7,0.93,0.08,5.14,NA
459285,4.5,15526.7,2.27,0.08,3.79,NA
459286,5,15579,2.86,0.08,3.44,NA
459287,5.5,15631.4,2.36,0.08,1.89,NA
459288,6,15683.8,2.03,0.08,2.38,NA
459289,6.5,15735.8,1.51,0.08,2.26,NA
459290,7,15787.5,1.45,0.08,2.15,NA
459291,7.5,15838.8,1.71,0.08,1.67,NA
459292,8,15889.9,1.82,0.08,1.67,NA
459293,8.5,15941,1.31,0.08,1.95,NA
459294,9,15992.2,0.96,0.08,2.53,NA
459295,9.5,16043.3,0.99,0.08,2.11,NA
459296,10,16094.4,1.78,0.08,1.92,NA
459297,10.5,16145.2,2.11,0.08,1.77,NA
459298,11,16195.7,2.01,0.08,2.13,NA
459299,11.5,16246,1.94,0.08,1.71,NA
459300,12,16296.1,1.87,0.08,2.32,NA
459301,12.5,16346,2.2,0.08,2.02,NA
459302,13,16396,1.97,0.08,1.83,NA
459303,13.5,16446.2,1.55,0.08,1.75,NA
459304,14,16496.6,1.7,0.08,1.6,NA
459305,14.5,16547.3,1.22,0.08,1.8,NA
459306,15,16598.5,1.85,0.08,1.49,NA
459307,15.5,16650.1,0.79,0.08,1.71,NA
459308,16,16702.1,0.21,0.08,1.8,NA
459309,16.5,16754.3,0.5,0.08,1.52,NA
459310,17,16806.7,-0.34,0.08,1.7,NA
459311,17.5,16859.7,0.81,0.08,1.13,NA
459312,18,16914,1.23,0.08,1.31,NA
459313,18.5,16969.9,1.07,0.08,1.24,NA
459314,19,17027.5,0.87,0.08,1.03,NA
459315,19.5,17085.6,1.57,0.08,0.98,NA
459316,20,17142.1,1.62,0.08,1.07,NA
459317,20.5,17195.4,1.12,0.08,0.88,NA
459318,21,17244.1,0.49,0.08,1,NA
459319,21.5,17288.5,0.48,0.08,1.03,NA
459320,22,17329.8,-0.13,0.08,0.99,NA
459321,22.5,17368.7,-0.15,0.08,0.86,NA
459322,23,17406.1,-0.11,0.08,1.06,NA
459323,23.5,17442.5,-0.29,0.08,1.03,NA
459324,24,17478.4,-1.12,0.08,1,NA
459325,24.5,17514.3,-0.07,0.08,1,NA
459326,25,17550.2,0.33,0.08,1.03,NA
459327,25.5,17585.8,-0.59,0.08,0.99,NA
459328,26,17620.4,-1.17,0.08,0.98,NA
459329,26.5,17653.3,-0.57,0.08,1.06,NA
459330,27,17683.8,-0.59,0.08,0.99,NA
459331,27.5,17710.1,-0.47,0.08,1.18,NA
459332,28,17730.5,-0.17,0.08,1.1,NA
459333,28.5,17742.9,-0.23,0.08,1,NA
459334,29,17744.9,0.05,0.08,1.1,NA
459335,29.5,17745.6,-0.03,0.08,1.03,NA
459336,30,17746.2,-0.23,0.08,0.95,NA
459337,30.5,17746.9,-0.57,0.08,0.97,NA
459338,31,17747.5,-0.33,0.08,1.05,NA
459339,31.5,17757.5,-0.68,0.08,1.03,NA
459340,32,17771.1,-0.88,0.08,1.11,NA
459341,32.5,17786.8,-0.75,0.08,1.24,NA
459342,33,17803.6,-0.68,0.08,0.96,NA
459343,33.5,17821.1,-1.61,0.08,0.98,NA
459344,34,17839.4,-1.05,0.08,0.98,NA
459345,34.5,17858.3,-0.37,0.08,1.04,NA
459346,35,17877.8,-0.45,0.08,1.12,NA
459347,35.5,17897.8,-0.56,0.08,1.07,NA
459348,36,17917.8,-0.44,0.08,1.13,NA
459349,36.5,17937.7,-0.79,0.08,1.02,NA
459350,37,17957.3,-0.65,0.08,1.06,NA
459351,37.5,17976.6,-0.37,0.08,1,NA
459352,38,17995.9,-0.38,0.08,0.99,NA
459353,38.5,18015.4,-1.57,0.08,0.93,NA
459354,39,18035.3,-1.6,0.08,0.9,NA
459355,39.5,18055.4,-0.93,0.08,0.97,NA
459356,40,18075.6,-0.89,0.08,0.98,NA
459357,40.5,18095.9,-1.08,0.08,1,NA
459358,41,18116.1,-0.82,0.08,1,NA
459359,41.5,18136.3,-0.67,0.08,1,NA
459360,42,18156.5,-0.93,0.08,0.98,NA
459361,42.5,18176.9,-0.67,0.08,1.01,NA
459362,43,18197.3,-0.61,0.08,0.94,NA
459363,43.5,18217.9,-0.84,0.08,1.05,NA
459364,44,18238.3,-1.13,0.08,1.01,NA
459365,44.5,18258.5,-1.04,0.08,0.97,NA
459366,45,18278.4,-0.82,0.08,1.02,NA
459367,45.5,18298,-0.87,0.08,1.08,NA
459368,46,18317.4,-0.86,0.08,1.08,NA
459369,46.5,18336.8,-0.85,0.08,1.05,NA
459370,47,18356.2,-0.81,0.08,0.97,NA
459371,47.5,18375.7,-0.68,0.08,1.26,NA
459372,48,18395.3,-0.62,0.08,1.03,NA
459373,48.5,18414.9,-0.43,0.08,1.09,NA
459374,49,18434.7,-0.43,0.08,1.13,NA
459375,49.5,18454.4,-0.3,0.08,1.14,NA
459376,50,18473.9,-0.36,0.08,1,NA
459377,50.5,18493.3,-0.59,0.08,1.08,NA
459378,51,18512.3,-0.26,0.08,1.05,NA
459379,51.5,18531.3,-0.52,0.08,1,NA
459380,52,18550.3,-0.65,0.08,1,NA
459381,52.5,18569.7,-0.81,0.08,0.97,NA
459382,53,18589.7,-0.8,0.08,1.25,NA
459383,53.5,18610,-0.57,0.08,1.08,NA
459384,54,18630.6,-0.66,0.08,1.13,NA
459385,54.5,18651.2,-0.67,0.08,1.14,NA
459386,55,18671.9,0.41,0.08,1.12,NA
459387,55.5,18692.9,-0.42,0.08,1.1,NA
459388,56,18714.8,-0.21,0.08,1.51,NA
459389,56.5,18738,-0.42,0.08,1.33,NA
459390,57,18763,-0.61,0.08,1.24,NA
459391,57.5,18789.8,-0.51,0.08,1.27,NA
459392,58,18818.4,0.08,0.08,1.27,NA
459393,58.5,18848.7,0.43,0.08,1.25,NA
459394,59,18880.4,-0.01,0.08,1.18,NA
459395,59.5,18912.5,-0.18,0.08,1.28,NA
459396,60,18943.7,-0.18,0.08,1.11,NA
459397,60.5,18972.7,0.1,0.08,1.71,NA
459398,61,18998.4,-0.43,0.08,1.14,NA
459399,61.5,19021,-0.52,0.08,1.15,NA
459400,62,19040.8,-0.55,0.08,1.2,NA
459401,62.5,19058.4,0.05,0.08,1.09,NA
459402,63,19074,-0.71,0.08,1.14,NA
459403,63.5,19088.1,-0.81,0.08,1.07,NA
459404,64,19101.2,-0.88,0.08,1.15,NA
459405,64.5,19113.7,-0.65,0.08,1.08,NA
459406,65,19126,-0.52,0.08,1.12,NA
459407,65.5,19138.4,0.5,0.08,0.97,NA
459408,66,19150.8,-0.31,0.08,1.12,NA
459409,66.5,19163.5,-0.77,0.08,1.05,NA
459410,67,19176.5,-0.89,0.08,1.01,NA
459411,67.5,19189.5,-0.65,0.08,1.13,NA
459412,68,19202.4,-0.46,0.08,1.01,NA
459413,68.5,19214.7,-0.65,0.08,1.01,NA
459414,69,19226.3,-1.14,0.08,1.07,NA
459415,69.5,19236.9,-0.8,0.08,1.19,NA
459416,70,19246.3,-0.35,0.08,1.07,NA
459417,70.5,19254.3,-0.8,0.08,1.12,NA
