sample_id,age_BP,d18O,d18O_precision
73683,7350.569143,-4.84293146148,0.01
73682,7387.819364,-4.67165783179,0.01
73681,7411.343295,-4.97915093018,0.01
73680,7430.65538,-5.09394087346,0.01
73679,7462.118411,-4.59545998036,0.01
73678,7495.337382,-4.84563315413,0.01
73677,7534.763535,-4.37363585982,0.01
73676,7568.555486,-5.18777301541,0.01
73675,7603.865135,-4.37477228609,0.01
73674,7637.149474,-4.43196355868,0.01
73673,7680.587044,-4.61380185705,0.01
73672,7720.77844,-4.96798588536,0.01
73671,7744.52959,-4.69117901877,0.01
73670,7763.35271,-4.63362323209,0.01
73669,7788.463555,-4.62408777966,0.01
73668,7810.603109,-4.79572592344,0.01
73667,7838.54905,-4.65127896462,0.01
73666,7863.925541,-4.82300287641,0.01
73665,7882.496776,-4.5265032868,0.01
73664,7890.66866,-4.75621182538,0.01
73663,7950.113515,-4.6092446841,0.01
73662,7964.930681,-5.08409876278,0.01
73661,7977.757093,-5.11217617375,0.01
73660,7991.057221,-4.94874676353,0.01
73659,8004.51751,-4.9876974916,0.01
73658,8016.565242,-4.8658941608,0.01
73657,8029.707425,-4.63458569345,0.01
73656,8042.747031,-4.74141359059,0.01
73655,8056.854706,-4.81846864359,0.01
73654,8070.155848,-4.76185047378,0.01
73653,8083.540621,-4.69638141403,0.01
73652,8097.216153,-4.80471651813,0.01
73651,8110.374877,-4.7694238447,0.01
73650,8123.477902,-4.64226995054,0.01
73649,8137.191404,-4.82681512916,0.01
73648,8149.905593,-4.96396816438,0.01
73647,8163.19328,-5.14393310945,0.01
73646,8177.171627,-4.99267163921,0.01
73645,8204.366741,-4.90334372432,0.01
73644,8231.108995,-4.82851448377,0.01
73643,8241.097312,-4.80708059219,0.01
73642,8243.968488,-4.4307048471,0.01
73641,8245.800406,-4.71127457805,0.01
73640,8247.219953,-4.85968804244,0.01
73639,8248.487791,-5.13809544115,0.01
73638,8249.563411,-4.95404406969,0.01
73637,8252.522786,-4.89192508212,0.01
73636,8253.820149,-4.97762805039,0.01
73635,8255.100834,-5.02173990959,0.01
73634,8256.565384,-5.08230670304,0.01
73633,8257.519898,-5.40446458093,0.01
73632,8258.833092,-5.01652982613,0.01
73631,8260.026305,-4.83247447916,0.01
73630,8261.301612,-4.8102252046,0.01
73629,8262.995988,-5.12723504459,0.01
73628,8264.450388,-5.1363138804,0.01
73627,8266.016427,-5.06696209362,0.01
73626,8267.350057,-4.91573163041,0.01
73625,8268.646871,-5.35179065552,0.01
73624,8270.165676,-5.29461331791,0.01
73623,8271.949129,-5.0828797881,0.01
73622,8273.770981,-5.16240622015,0.01
73621,8277.956923,-5.26168748659,0.01
73620,8279.660299,-5.40251733353,0.01
73619,8281.140464,-5.42273068174,0.01
73618,8286.746421,-5.69443789907,0.01
73617,8288.455747,-5.8110049293,0.01
73616,8289.616887,-6.21957860815,0.01
73615,8291.375315,-6.18675514046,0.01
73614,8294.483146,-6.6590321754,0.01
73613,8295.794189,-6.08894812241,0.01
73612,8297.23813,-6.38505259263,0.01
73611,8298.736543,-6.62832503058,0.01
73610,8300.437557,-6.86088660236,0.01
73609,8301.806376,-6.5610894847,0.01
73608,8303.89231,-6.38805997653,0.01
73607,8305.36859,-6.4945242912,0.01
73606,8306.837877,-6.3258320324,0.01
73605,8308.967183,-6.23641701791,0.01
73604,8310.701285,-6.1496853107,0.01
73603,8311.766276,-6.10116755247,0.01
73602,8313.476394,-6.30905419425,0.01
73601,8315.191083,-6.55642995945,0.01
73600,8316.719598,-6.62995535121,0.01
73599,8318.316338,-6.58646008635,0.01
73598,8319.617209,-6.48757101442,0.01
73597,8323.332788,-6.76608438958,0.01
73596,8325.290027,-6.87320495055,0.01
73595,8327.064538,-7.11052944252,0.01
73594,8329.226702,-6.84674792106,0.01
73593,8331.177693,-6.89106748854,0.01
73592,8332.551436,-6.49112079753,0.01
73591,8334.168799,-5.82969398177,0.01
73590,8335.875505,-5.9630054506,0.01
73589,8337.550992,-5.20828762251,0.01
73588,8339.619171,-5.20178513888,0.01
73587,8340.959135,-5.51294836656,0.01
73586,8342.691835,-5.16520617094,0.01
73585,8344.37597,-5.45010945322,0.01
73584,8345.833685,-5.02334901099,0.01
73583,8347.596466,-5.01585721563,0.01
73582,8351.609482,-5.35519336009,0.01
73581,8353.392001,-5.25298923486,0.01
73580,8354.649795,-5.32795246731,0.01
73579,8356.165193,-5.48697762683,0.01
73578,8357.892036,-5.3996407368,0.01
73577,8359.438,-5.37378059801,0.01
73576,8361.972654,-5.39614360012,0.01
73575,8369.666705,-5.27291591728,0.01
73574,8382.418218,-4.89858888384,0.01
73573,8396.564903,-4.8889891054,0.01
73572,8414.753954,-4.96585165899,0.01
73571,8502.666536,-4.63060988351,0.01
73570,8587.337245,-4.76549994789,0.01
73569,8671.278378,-4.72677920403,0.01
73568,8750.35885,-4.5254626027,0.01
73567,8845.345429,-4.53523391719,0.01
73566,8954.286809,-4.4003438528,0.01
73565,9028.831289,-4.55351146786,0.01
73564,9079.647246,-4.8031271495,0.01
73563,9118.573136,-4.64998097645,0.01
73562,9164.811815,-4.4759842121,0.01
73561,9205.74629,-4.69652181233,0.01
73560,9234.698282,-4.65807981453,0.01
73559,9270.91548,-4.45697763326,0.01
73558,9301.038213,-4.91723094861,0.01
73557,9360.701944,-4.29444610181,0.01
73556,9398.090173,-5.10011990523,0.01
73555,9427.218865,-4.50637025583,0.01
73554,9462.141952,-4.35303110473,0.01
73553,9505.365744,-4.148097725,0.01
73552,9549.971325,-4.37787058959,0.01
73551,9598.515763,-4.80073256539,0.01
73550,9667.94351,-4.16768323798,0.01
73549,9725.460005,-4.62815097338,0.01
73548,9777.068658,-4.37851384974,0.01
73547,9827.156586,-4.19639680531,0.01
73546,9901.401371,-4.10959140118,0.01
73545,9971.073795,-4.42554785175,0.01
73544,10036.52468,-4.54209603944,0.01
73543,10086.5197,-4.29130104752,0.01
73542,10102.19209,-4.19528182104,0.01
73541,10250.00745,-4.32142978718,0.01
73540,10319.69657,-4.39790638468,0.01
73539,10370.04463,-4.21694720853,0.01
73538,10410.63854,-4.20762617614,0.01
73537,10447.40865,-3.95781751646,0.01
73536,10489.3528,-4.45657715562,0.01
