sample_id,age_BP,d18O,d18O_precision,d13C,d13C_precision
199738,83432.33036,-3.69588,0.001,-10.6789167,5e-04
199739,83639.27703,-3.59858,0.001,-10.6020167,5e-04
199740,83752.25942,-3.68028,0.001,-10.9401167,5e-04
199741,83887.04063,-3.64798,0.001,-10.8102167,5e-04
199742,84002.77119,-3.59768,0.001,-10.6663167,5e-04
199743,84092.09265,-3.56038,0.001,-10.6804167,5e-04
199744,84201.97615,-3.64408,0.001,-10.7955167,5e-04
199745,84318.35863,-3.99518,0.001,-10.9758167,5e-04
199746,84460.14371,-4.12488,0.001,-11.0949167,5e-04
199747,84594.81643,-4.24858,0.001,-11.1310167,5e-04
199748,84730.65693,-4.00828,0.001,-10.9781167,5e-04
199749,84876.91031,-3.95798,0.001,-10.9322167,5e-04
199750,85001.57932,-3.89868,0.001,-10.9203167,5e-04
199751,85125.98601,-3.87938,0.001,-11.0264167,5e-04
199752,85263.62532,-3.6478,0.001,-10.9183,5e-04
199753,85401.40277,-3.6126,0.001,-10.9554,5e-04
199754,85533.59622,-3.5904,0.001,-10.8805,5e-04
199755,85673.81069,-3.5052,0.001,-10.8246,5e-04
199756,85808.39764,-3.679,0.001,-10.8987,5e-04
199757,85939.54925,-3.8188,0.001,-10.8128,5e-04
199758,86071.3613,-3.7096,0.001,-10.8059,5e-04
199759,86220.2575,-3.657,0.001,-10.7982,5e-04
199760,86339.96863,-3.6668,0.001,-10.7873,5e-04
199761,86469.53533,-3.8126,0.001,-10.7224,5e-04
199762,86601.9567,-3.9594,0.001,-10.9045,5e-04
199763,86741.50676,-3.9672,0.001,-10.9156,5e-04
199764,86851.52966,-3.902,0.001,-10.8247,5e-04
199765,87008.11187,-3.9468,0.001,-10.8558,5e-04
199766,87148.4492,-3.9602,0.001,-10.9171,5e-04
199767,87264.54016,-3.907,0.001,-10.8922,5e-04
199768,87523.04489,-3.7418,0.001,-10.9673,5e-04
199769,87777.13118,-3.5386,0.001,-10.9314,5e-04
199770,88285.67927,-4.03548,0.001,-11.38378,5e-04
199771,88546.57934,-3.8907,0.001,-10.45835,5e-04
199772,88801.6644,-3.9649,0.001,-10.30145,5e-04
199773,89056.22336,-3.8991,0.001,-10.23455,5e-04
199774,89305.89337,-4.0163,0.001,-10.36765,5e-04
199775,89556.65871,-4.0425,0.001,-10.03275,5e-04
199776,89807.67001,-4.1527,0.001,-10.39885,5e-04
199777,90061.75131,-4.0749,0.001,-10.01195,5e-04
199778,90315.28816,-4.0485,0.001,-10.10325,5e-04
199779,90567.86135,-4.0017,0.001,-9.99235,5e-04
199780,90829.46089,-4.0149,0.001,-10.20845,5e-04
199781,91082.14983,-4.2251,0.001,-10.40655,5e-04
199782,91338.14834,-4.5413,0.001,-10.41565,5e-04
199783,91600.19579,-4.6305,0.001,-10.50675,5e-04
199784,91858.50595,-4.9657,0.001,-10.61985,5e-04
199785,92115.91325,-4.8233,0.001,-10.38615,5e-04
199786,92372.10027,-4.7725,0.001,-10.45925,5e-04
199787,92626.55852,-4.9377,0.001,-10.26035,5e-04
199788,92877.92145,-4.7619,0.001,-10.13945,5e-04
199789,93132.77984,-4.7501,0.001,-10.11355,5e-04
199790,93390.12019,-5.07228,0.001,-11.58508,5e-04
199791,93639.52989,-5.1928,0.001,-11.3792,5e-04
199792,93890.50502,-5.2532,0.001,-11.5899,5e-04
199793,94148.69608,-5.3826,0.001,-11.4936,5e-04
199794,94313.43006,-5.366,0.001,-11.3223,5e-04
199795,94486.3604,-5.4974,0.001,-11.352,5e-04
199796,94654.50064,-5.5038,0.001,-11.5937,5e-04
199797,94828.55666,-5.2742,0.001,-11.7804,5e-04
199798,95003.78026,-4.618,0.001,-11.7035,5e-04
199799,95175.66803,-4.361,0.001,-11.5862,5e-04
199800,95342.67376,-4.58108,0.001,-11.65238,5e-04
199801,95510.92235,-4.4952,0.001,-11.6649,5e-04
199802,95681.04218,-4.5206,0.001,-11.6276,5e-04
199803,95851.98854,-4.543,0.001,-11.6873,5e-04
199804,96020.44732,-4.3354,0.001,-11.738,5e-04
199805,96213.63127,-4.31296,0.001,-11.6696,5e-04
199806,96406.66689,-4.2168,0.001,-11.5157,5e-04
199807,96597.62657,-4.178,0.001,-11.5738,5e-04
199808,96792.46423,-4.1154,0.001,-11.4905,5e-04
199809,96986.6268,-4.0658,0.001,-11.5862,5e-04
199810,97175.05041,-4.1022,0.001,-11.6519,5e-04
199811,97372.25191,-4.1066,0.001,-11.6296,5e-04
199812,97565.68383,-4.162,0.001,-11.6903,5e-04
199813,97756.86546,-4.0348,0.001,-11.59408,5e-04
199814,97951.85384,-4.0654,0.001,-11.59498,5e-04
199815,98145.24921,-4.075,0.001,-11.72988,5e-04
199816,98339.34671,-3.8726,0.001,-11.58178,5e-04
199817,98528.60771,-3.8832,0.001,-11.41268,5e-04
199818,98721.98231,-3.8838,0.001,-11.51558,5e-04
199819,98910.12967,-3.8624,0.001,-11.67848,5e-04
199820,99099.54351,-4.076,0.001,-11.5756666667,5e-04
199821,99291.70213,-4.119,0.001,-11.6156666667,5e-04
199822,99487.81895,-4.229,0.001,-11.5316666667,5e-04
199823,99678.86184,-4.152,0.001,-11.6866666667,5e-04
199824,99869.21672,-4.287,0.001,-11.7496666667,5e-04
199825,99973.3356,-4.405,0.001,-11.7276666667,5e-04
199826,100078.7505,-4.576,0.001,-11.7526666667,5e-04
199827,100178.8014,-4.732,0.001,-11.9156666667,5e-04
199828,100287.019,-5.117,0.001,-12.1806666667,5e-04
199829,100395.0786,-4.963,0.001,-11.7696666667,5e-04
199830,100497.6558,-4.579,0.001,-11.2386666667,5e-04
199831,100602.1637,-4.364,0.001,-11.3487,5e-04
