sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379141,0,6915,-2.98,0.08,15.82874,NA
379142,0.1,6926,-3.94,0.08,15.15932,NA
379143,0.2,6937,-4.18,0.08,14.35458,NA
379144,0.3,6948,-4.13,0.08,12.19753,NA
379145,0.4,6959,-3.89,0.08,12.11915,NA
379146,0.5,6970,-3.65,0.08,13.30092,NA
379147,0.6,6981,-3.75,0.08,14.97611,NA
379148,0.7,6992,-3.81,0.08,13.74212,NA
379149,0.8,7003,-3.83,0.08,13.53588,NA
379150,0.9,7013,-3.23,0.08,15.93157,NA
379151,1,7024,-2.64,0.08,14.46141,NA
379152,1.1,7035,-2.7,0.08,17.80396,NA
379153,1.2,7046,-2.68,0.08,15.91436,NA
379154,1.3,7057,-2.52,0.08,16.22586,NA
379155,1.4,7068,-2.74,0.08,13.88197,NA
379156,1.5,7079,-2.88,0.08,16.03269,NA
379157,1.6,7090,-2.77,0.08,15.77316,NA
379158,1.7,7101,-2.81,0.08,14.29581,NA
379159,1.8,7112,-3.01,0.08,12.64343,NA
379160,1.9,7123,-2.85,0.08,12.33103,NA
379161,2,7134,-2.67,0.08,12.37043,NA
379162,2.1,7145,-2.82,0.08,12.45088,NA
379163,2.2,7156,-2.8,0.08,13.12502,NA
379164,2.3,7167,-2.94,0.08,13.05606,NA
379165,2.4,7178,-2.82,0.08,12.98343,NA
379166,2.5,7189,-3.1,0.08,12.99809,NA
379167,2.6,7201,-3.15,0.08,11.78133,NA
379168,2.7,7212,-3.03,0.08,11.67844,NA
379169,2.8,7223,-3.04,0.08,11.59292,NA
379170,2.9,7234,-3.05,0.08,12.34208,NA
379171,3,7246,-3.08,0.08,12.07848,NA
379172,3.1,7257,-3,0.08,13.22405,NA
379173,3.2,7269,-2.94,0.08,11.70417,NA
379174,3.3,7280,-2.96,0.08,11.97866,NA
379175,3.4,7291,-3.19,0.08,11.18069,NA
379176,3.5,7303,-2.96,0.08,10.65011,NA
379177,3.6,7314,-2.99,0.08,10.48908,NA
379178,3.7,7326,-3.04,0.08,9.89685,NA
379179,3.8,7337,-3.43,0.08,9.79025,NA
379180,3.9,7349,-3.49,0.08,9.58701,NA
379181,4,7360,-3.42,0.08,10.32745,NA
379182,4.1,7372,-3.35,0.08,9.65361,NA
379183,4.2,7383,-3.24,0.08,10.28546,NA
379184,4.3,7395,-2.89,0.08,11.16817,NA
379185,4.4,7406,-2.92,0.08,10.43225,NA
379186,4.5,7418,-3.14,0.08,10.82841,NA
379187,4.6,7429,-3.3,0.08,11.71112,NA
379188,4.7,7441,-3.51,0.08,11.74662,NA
379189,4.8,7452,-3.05,0.08,12.6349,NA
379190,4.9,7464,-2.51,0.08,16.17386,NA
379191,5,7475,-2.27,0.08,23.10318,NA
379192,5.1,7487,-2.44,0.08,21.54106,NA
379193,5.2,7498,-2.61,0.08,17.84841,NA
379194,5.3,7510,-2.58,0.08,16.81061,NA
379195,5.4,7521,-2.78,0.08,16.71892,NA
379196,5.5,7533,-2.8,0.08,17.14697,NA
379197,5.6,7544,-2.71,0.08,18.1056,NA
379198,5.7,7556,-2.73,0.08,16.87604,NA
379199,5.8,7567,-3,0.08,18.20671,NA
379200,5.9,7578,-3.26,0.08,17.32947,NA
379201,6,7589,-3.19,0.08,17.99394,NA
379202,6.1,7601,-2.88,0.08,17.34371,NA
379203,6.2,7612,-2.91,0.08,15.83425,NA
379204,6.3,7623,-2.85,0.08,15.44698,NA
379205,6.4,7634,-2.72,0.08,16.33998,NA
379206,6.5,7646,-2.56,0.08,15.43651,NA
379207,6.6,7657,-2.2,0.08,16.17164,NA
379208,6.7,7668,-2.24,0.08,17.43784,NA
379209,6.8,7679,-2.48,0.08,17.35234,NA
379210,6.9,7690,-2.23,0.08,16.41388,NA
379211,7,7701,-2.08,0.08,18.67783,NA
379212,7.1,7713,-1.76,0.08,22.34988,NA
379213,7.2,7724,-1.83,0.08,21.99396,NA
379214,7.3,7735,-1.94,0.08,22.55727,NA
379215,7.4,7746,-1.92,0.08,22.16544,NA
379216,7.5,7757,-1.85,0.08,21.33469,NA
379217,7.6,7769,-1.76,0.08,22.19653,NA
379218,7.7,7780,-1.67,0.08,21.81658,NA
379219,7.8,7791,-1.75,0.08,22.13985,NA
379220,7.9,7803,-1.6,0.08,19.84069,NA
379221,8,7814,-1.29,0.08,21.26744,NA
379222,8.1,7826,-1.64,0.08,24.26555,NA
379223,8.2,7837,-1.51,0.08,24.87469,NA
379224,8.3,7849,-1.46,0.08,22.81585,NA
379225,8.4,7860,-1.72,0.08,20.7007,NA
379226,8.5,7872,-1.68,0.08,19.2144,NA
379227,8.6,7884,-1.74,0.08,19.87126,NA
379228,8.7,7896,-1.89,0.08,18.99575,NA
379229,8.8,7907,-2.14,0.08,17.08024,NA
379230,8.9,7919,-2.05,0.08,15.97435,NA
379231,9,7931,-2.37,0.08,16.7149,NA
379232,9.1,7943,-2.41,0.08,15.68056,NA
379233,9.2,7954,-2.42,0.08,16.98394,NA
379234,9.3,7966,-2.19,0.08,20.0156,NA
379235,9.4,7978,-2.14,0.08,22.36107,NA
379236,9.5,7990,-1.91,0.08,23.31301,NA
379237,9.6,8001,-1.92,0.08,22.3747,NA
379238,9.7,8013,-2.15,0.08,23.52752,NA
379239,9.8,8025,-2.23,0.08,26.06556,NA
379240,9.9,8036,-2.27,0.08,23.05311,NA
379241,10,8048,-2.16,0.08,21.14813,NA
379242,10.1,8060,-1.75,0.08,22.58428,NA
379243,10.2,8071,-1.68,0.08,28.86645,NA
379244,10.3,8083,-1.72,0.08,25.95989,NA
379245,10.4,8094,-1.9,0.08,24.84375,NA
379246,10.5,8106,-1.7,0.08,20.64383,NA
379247,10.6,8117,-1.4,0.08,22.61061,NA
379248,10.7,8129,-1.23,0.08,24.39922,NA
379249,10.8,8140,-1.3,0.08,23.81649,NA
379250,10.9,8151,-1.6,0.08,24.07947,NA
379251,11,8162,-1.96,0.08,22.62614,NA
379252,11.1,8174,-1.93,0.08,23.06555,NA
379253,11.2,8185,-1.93,0.08,21.55856,NA
379254,11.3,8196,-1.74,0.08,24.23132,NA
379255,11.4,8207,-1.51,0.08,27.30842,NA
379256,11.5,8218,-1.35,0.08,27.42042,NA
379257,11.6,8229,-1.34,0.08,26.11635,NA
379258,11.7,8240,-1.51,0.08,26.10098,NA
379259,11.8,8250,-1.54,0.08,25.80997,NA
379260,11.9,8261,-1.46,0.08,20.15594,NA
379261,12,8272,-2.18,0.08,22.39877,NA
379262,12.1,8282,-2.13,0.08,25.38498,NA
379263,12.2,8293,-1.84,0.08,27.2251,NA
379264,12.3,8304,-1.4,0.08,27.43974,NA
379265,12.4,8314,-1.04,0.08,30.46079,NA
379266,12.5,8325,-1.05,0.08,26.65398,NA
379267,12.6,8335,-1.12,0.08,26.28862,NA
379268,12.7,8346,-1.26,0.08,23.91471,NA
