year_ce,d13c,sample_id,entity_id
-24.90,-8.54,104581,209
-24.64,-8.76,104580,209
-24.39,-8.67,104579,209
-24.16,-8.83,104578,209
-23.92,-9.02,104577,209
-23.71,-8.86,104576,209
-23.43,-8.92,104575,209
-23.21,-8.84,104574,209
-22.98,-8.83,104573,209
-22.74,-8.91,104572,209
-22.46,-8.99,104571,209
-22.15,-8.74,104570,209
-21.89,-8.82,104569,209
-21.66,-8.78,104568,209
-21.42,-8.75,104567,209
-21.20,-8.89,104566,209
-20.95,-8.97,104565,209
-20.69,-8.94,104564,209
-20.39,-8.88,104563,209
-20.14,-8.88,104562,209
-19.88,-8.83,104561,209
-19.64,-9.14,104560,209
-19.39,-9.18,104559,209
-19.14,-9.13,104558,209
-18.87,-9.25,104557,209
-18.61,-9.25,104556,209
-18.34,-9.2,104555,209
-18.10,-9.35,104554,209
-17.83,-9.24,104553,209
-17.59,-9.26,104552,209
-17.29,-9.12,104551,209
-17.04,-8.95,104550,209
-16.82,-8.83,104549,209
-16.60,-8.71,104548,209
-16.34,-8.64,104547,209
-16.09,-8.48,104546,209
-15.83,-8.54,104545,209
-15.56,-8.66,104544,209
-15.34,-8.48,104543,209
-15.05,-8.63,104542,209
-14.81,-8.55,104541,209
-14.51,-8.7,104540,209
-14.24,-8.66,104539,209
-13.95,-8.55,104538,209
-13.67,-8.55,104537,209
-13.41,-8.53,104536,209
-13.14,-8.6,104535,209
-12.88,-8.61,104534,209
-12.61,-8.8,104533,209
-12.29,-8.73,104532,209
-12.03,-8.66,104531,209
-11.76,-8.75,104530,209
-11.49,-8.71,104529,209
-11.22,-8.72,104528,209
-11.00,-8.72,104527,209
-10.73,-8.66,104526,209
-10.52,-8.66,104525,209
-10.25,-8.62,104524,209
-9.96,-8.46,104523,209
-9.70,-8.47,104522,209
-9.44,-8.08,104521,209
-9.16,-8.02,104520,209
-8.87,-7.83,104519,209
-8.61,-7.83,104518,209
-8.34,-7.8,104517,209
-8.09,-7.66,104516,209
-7.80,-7.55,104515,209
-7.56,-7.48,104514,209
-7.27,-7.3,104513,209
-7.01,-7.51,104512,209
-6.74,-7.64,104511,209
-6.47,-7.8,104510,209
-6.21,-7.93,104509,209
-5.95,-8.33,104508,209
-5.71,-8.13,104507,209
-5.46,-8.22,104506,209
-5.15,-8.29,104505,209
-4.92,-8.24,104504,209
-4.67,-8.25,104503,209
-4.36,-8.28,104502,209
-4.08,-8.48,104501,209
-3.81,-8.54,104500,209
-3.57,-8.61,104499,209
-3.32,-8.71,104498,209
-3.05,-9.11,104497,209
-2.79,-8.96,104496,209
-2.55,-8.95,104495,209
-2.31,-8.94,104494,209
-2.07,-9.01,104493,209
-1.85,-9.16,104492,209
-1.60,-9.2,104491,209
-1.35,-9.24,104490,209
-1.09,-9.22,104489,209
-0.82,-9.09,104488,209
-0.58,-9.32,104487,209
-0.36,-9.23,104486,209
-0.08,-9.24,104485,209
0.20,-9.1,104484,209
0.46,-9.51,104483,209
0.70,-9.2,104482,209
0.94,-9.08,104481,209
1.18,-9.07,104480,209
1.42,-8.99,104479,209
1.67,-9.1,104478,209
1.95,-8.98,104477,209
2.21,-8.8,104476,209
2.47,-9.11,104475,209
2.72,-8.78,104474,209
2.96,-8.88,104473,209
3.22,-8.98,104472,209
3.47,-8.98,104471,209
3.73,-9.07,104470,209
3.98,-9.13,104469,209
4.24,-8.8,104468,209
4.62,-8.84,104467,209
5.02,-8.78,104466,209
5.44,-8.63,104465,209
5.82,-8.9,104464,209
6.20,-8.86,104463,209
6.59,-9.0,104462,209
6.99,-8.88,104461,209
7.40,-9.19,104460,209
7.81,-9.51,104459,209
8.21,-9.53,104458,209
8.59,-9.35,104457,209
8.99,-9.53,104456,209
9.38,-9.73,104455,209
9.78,-9.65,104454,209
10.16,-9.76,104453,209
10.55,-9.71,104452,209
10.95,-9.91,104451,209
11.33,-9.77,104450,209
11.72,-9.79,104449,209
12.13,-10.02,104448,209
12.54,-9.93,104447,209
12.94,-9.73,104446,209
13.32,-9.59,104445,209
13.71,-9.83,104444,209
14.12,-9.45,104443,209
14.50,-9.47,104442,209
14.90,-9.25,104441,209
15.31,-9.31,104440,209
15.69,-9.07,104439,209
16.08,-9.09,104438,209
16.45,-9.03,104437,209
16.84,-9.09,104436,209
17.24,-9.2,104435,209
17.63,-9.77,104434,209
18.03,-9.93,104433,209
18.43,-9.35,104432,209
18.83,-9.62,104431,209
19.21,-9.1,104430,209
19.60,-9.1,104429,209
19.99,-9.37,104428,209
20.39,-9.32,104427,209
20.77,-9.16,104426,209
21.16,-9.09,104425,209
21.56,-9.08,104424,209
21.96,-9.13,104423,209
22.36,-9.45,104422,209
22.76,-8.99,104421,209
23.16,-8.93,104420,209
23.54,-9.58,104419,209
23.93,-8.85,104418,209
24.32,-8.93,104417,209
24.72,-9.09,104416,209
25.10,-9.56,104415,209
25.50,-9.44,104414,209
25.88,-9.47,104413,209
26.27,-9.25,104412,209
26.65,-9.42,104411,209
27.07,-9.61,104410,209
27.85,-9.68,104409,209
28.23,-9.35,104408,209
28.61,-9.31,104407,209
28.99,-8.63,104406,209
29.39,-8.72,104405,209
29.78,-8.37,104404,209
30.18,-8.49,104403,209
30.57,-8.33,104402,209
31.00,-8.17,104401,209
31.42,-8.28,104400,209
31.83,-9.59,104399,209
32.23,-8.78,104398,209
32.62,-8.24,104397,209
33.01,-8.25,104396,209
33.41,-8.29,104395,209
33.82,-8.3,104394,209
34.21,-8.44,104393,209
34.61,-8.45,104392,209
35.01,-8.38,104391,209
35.40,-8.46,104390,209
35.79,-8.55,104389,209
36.19,-8.5,104388,209
36.59,-8.49,104387,209
36.98,-8.43,104386,209
37.37,-8.58,104385,209
37.75,-8.55,104384,209
38.14,-8.45,104383,209
38.54,-8.62,104382,209
38.94,-9.03,104381,209
39.33,-8.4,104380,209
39.71,-8.54,104379,209
40.11,-8.67,104378,209
40.50,-8.73,104377,209
40.89,-8.73,104376,209
41.26,-8.67,104375,209
