year_CE,d18O
-24.9,-3.5700
-24.6,-3.5100
-24.4,-3.5100
-24.2,-3.5600
-23.9,-3.8500
-23.7,-3.7600
-23.4,-3.9000
-23.2,-3.7300
-23.0,-3.8100
-22.7,-3.9700
-22.5,-4.0700
-22.2,-3.7000
-21.9,-3.9700
-21.7,-3.7100
-21.4,-3.6800
-21.2,-3.8400
-20.9,-4.0000
-20.7,-3.7600
-20.4,-3.6600
-20.1,-3.5900
-19.9,-3.5900
-19.6,-3.7600
-19.4,-3.6800
-19.1,-3.7300
-18.9,-3.8200
-18.6,-3.6000
-18.3,-3.5200
-18.1,-3.7700
-17.8,-3.6100
-17.6,-3.7700
-17.3,-3.7300
-17.0,-3.8500
-16.8,-3.8900
-16.6,-3.8800
-16.3,-4.1500
-16.1,-4.2100
-15.8,-4.2000
-15.6,-4.4400
-15.3,-4.1100
-15.1,-4.1700
-14.8,-3.8400
-14.5,-3.8000
-14.2,-3.8000
-13.9,-3.6600
-13.7,-3.5500
-13.4,-3.4800
-13.1,-3.6100
-12.9,-3.5700
-12.6,-3.6800
-12.3,-3.5400
-12.0,-3.4400
-11.8,-3.4000
-11.5,-3.4000
-11.2,-3.4400
-11.0,-3.4400
-10.7,-3.4500
-10.5,-3.4900
-10.3,-3.6100
-10.0,-3.6300
-9.7,-3.7600
-9.4,-3.6100
-9.2,-3.5000
-8.9,-3.4900
-8.6,-3.4700
-8.3,-3.5400
-8.1,-3.5700
-7.8,-3.5700
-7.6,-3.5300
-7.3,-3.5600
-7.0,-3.5000
-6.7,-3.5300
-6.5,-3.4900
-6.2,-3.4900
-5.9,-3.5200
-5.7,-3.4500
-5.5,-3.4300
-5.1,-3.5400
-4.9,-3.4800
-4.7,-3.5100
-4.4,-3.4500
-4.1,-3.4600
-3.8,-3.6100
-3.6,-3.5400
-3.3,-3.6800
-3.1,-3.8900
-2.8,-3.8500
-2.5,-3.7500
-2.3,-3.8000
-2.1,-3.9000
-1.8,-4.1200
-1.6,-3.9000
-1.3,-4.0000
-1.1,-4.0000
-0.8,-4.0000
-0.6,-3.9900
-0.4,-3.9900
-0.1,-3.9800
0.2,-3.8600
0.5,-3.8700
0.7,-3.9200
0.9,-4.0700
1.2,-3.9300
1.4,-4.1300
1.7,-3.8100
1.9,-3.9800
2.2,-4.2700
2.5,-3.9600
2.7,-3.9300
3.0,-4.3100
3.2,-4.4600
3.5,-4.0700
3.7,-3.8700
4.0,-3.9100
4.2,-4.0100
4.6,-4.0500
5.0,-4.3400
5.4,-4.2000
5.8,-3.8000
6.2,-4.1600
6.6,-3.7300
7.0,-3.9500
7.4,-3.7100
7.8,-3.7800
8.2,-3.8200
8.6,-4.0400
9.0,-4.2900
9.4,-3.9400
9.8,-3.9200
10.2,-3.9400
10.6,-3.8900
11.0,-3.9800
11.3,-3.9500
11.7,-4.3400
12.1,-4.1100
12.5,-4.0900
12.9,-4.0600
13.3,-3.9500
13.7,-4.1300
14.1,-3.8500
14.5,-3.9900
14.9,-4.3800
15.3,-3.9200
15.7,-3.9200
16.1,-3.8500
16.5,-3.8600
16.8,-3.7800
17.2,-3.8700
17.6,-4.1100
18.0,-4.0700
18.4,-3.9200
18.8,-4.0500
19.2,-3.9800
19.6,-3.9500
20.0,-4.3200
20.4,-4.1800
20.8,-4.1400
21.2,-4.0600
21.6,-4.0600
22.0,-4.1300
22.4,-4.6600
22.8,-4.1300
23.2,-4.0700
23.5,-4.0500
23.9,-4.1800
24.3,-4.1200
24.7,-3.9600
25.1,-3.9700
25.5,-3.9200
25.9,-3.9500
26.3,-3.9100
26.7,-3.8600
27.1,-3.9400
27.8,-3.9800
28.2,-3.8700
28.6,-3.7800
29.0,-3.8300
29.4,-3.7800
29.8,-3.9700
30.2,-3.8300
30.6,-3.7000
31.0,-3.9000
31.4,-3.8500
31.8,-3.9200
32.2,-3.7000
32.6,-3.8000
33.0,-3.7300
33.4,-3.7400
33.8,-3.6500
34.2,-3.6400
34.6,-3.7200
35.0,-3.6800
35.4,-3.6600
35.8,-3.8000
36.2,-3.7000
36.6,-3.6500
37.0,-3.5800
37.4,-3.6900
37.8,-3.7100
38.1,-3.6300
38.5,-3.7600
38.9,-3.4400
39.3,-3.3500
39.7,-3.5300
40.1,-3.6100
40.5,-3.6000
40.9,-3.6200
41.3,-3.7600
41.7,-3.8800
42.0,-3.8900
42.4,-4.1500
42.8,-4.1200
43.2,-4.1000
43.6,-4.1400
44.0,-4.0800
44.4,-3.9600
44.8,-4.1400
45.2,-4.3300
45.6,-3.9100
46.0,-3.9700
46.4,-4.0100
46.8,-4.1000
47.2,-4.2100
47.6,-4.2400
48.0,-4.1300
48.4,-4.4500
48.8,-4.1200
49.2,-4.3100
49.6,-4.2100
50.0,-4.0900
50.4,-3.7500
50.8,-3.6300
51.2,-4.5100
52.0,-3.5000
52.4,-3.6500
52.7,-3.5700
53.1,-3.7300
53.5,-3.7200
53.9,-3.8400
54.3,-4.0900
54.7,-3.6400
55.1,-3.7100
55.5,-3.7200
55.9,-3.8200
56.3,-3.9200
56.7,-3.8700
57.1,-3.9300
57.5,-3.8600
57.9,-3.9300
58.3,-3.8800
58.7,-3.9900
59.1,-3.6900
59.5,-3.7400
59.9,-3.5700
60.4,-3.6400
60.8,-3.6500
61.2,-3.6500
61.6,-3.8100
62.0,-3.8300
62.4,-3.8300
62.8,-3.7100
63.2,-3.7600
63.6,-3.7200
64.0,-3.7200
64.4,-3.6600
64.8,-3.7300
65.2,-3.6700
65.6,-3.6900
66.0,-3.6800
66.4,-3.7600
66.8,-3.8400
67.2,-3.7400
67.6,-3.7800
68.0,-3.7100
68.4,-3.7400
68.8,-3.7200
69.2,-3.6800
69.6,-3.6900
70.0,-3.7300
70.4,-3.6900
70.8,-3.6900
71.2,-3.6800
71.6,-3.7300
72.0,-3.7000
72.4,-3.7600
72.8,-3.7900
73.1,-3.8000
73.5,-3.9200
73.9,-3.8400
74.3,-3.7500
74.7,-3.7000
75.1,-3.8600
75.5,-3.7600
75.9,-3.9100
76.3,-4.2100
76.7,-4.1700
77.1,-3.6400
77.5,-3.7400
77.9,-3.7900
78.3,-3.8700
78.7,-4.1300
79.1,-3.6500
79.5,-3.8100
79.9,-3.8500
80.3,-3.5800
80.7,-4.0400
81.0,-4.0300
81.4,-3.6800
81.6,-3.6100
81.8,-3.9500
82.0,-4.0600
82.2,-3.8000
82.4,-3.8600
82.6,-3.7600
82.8,-3.9400
83.1,-4.0700
83.3,-3.7700
83.5,-4.3300
83.7,-4.1400
83.9,-4.0400
84.1,-3.6100
84.3,-3.8800
84.8,-3.7200
85.0,-3.7800
85.2,-3.9900
85.4,-3.9000
85.8,-4.1100
86.0,-3.9100
86.2,-4.0000
86.4,-3.7100
86.6,-3.9000
86.8,-3.8300
87.1,-3.7700
87.2,-4.0500
87.5,-3.7000
87.7,-3.7700
87.8,-4.0000
88.1,-3.8800
88.3,-3.8000
88.5,-3.6400
88.8,-3.6200
88.9,-3.5800
89.1,-3.4300
89.3,-3.4500
89.5,-3.5200
89.7,-3.5000
89.9,-3.5200
90.1,-3.5200
90.3,-3.7800
90.5,-3.8500
90.7,-3.6400
90.9,-3.5300
91.1,-3.6200
91.3,-3.7100
91.5,-3.9400
92.0,-3.9600
92.6,-3.8400
93.1,-3.8500
93.6,-3.8200
94.2,-3.9400
94.7,-4.1000
95.2,-3.6000
95.7,-4.1400
96.3,-3.7300
96.8,-3.8300
97.4,-3.9100
97.9,-3.6800
98.5,-3.7400
99.1,-4.1000
99.7,-3.4800
100.3,-3.5000
100.8,-3.7000
