entity_id,sample_id,sample_thickness,depth_sample,mineralogy,arag_corr,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg,d18O_measurement,d18O_precision,d13C_measurement,d13C_precision,Mg_Ca_measurement,Mg_Ca_precision,Sr_Ca_measurement,Sr_Ca_precision,year_CE
125,53685,1.0,12.1,calcite,not applicable,11767.78923,350.6539053,399.6471104,,,,11815.0,323.05,481.45,11803.26823,361.071295,380.73903,,,,11757.99505,350.3302499,370.8341248,11892.73313,322.238073,348.4766248,-9.03,0.1,-10.57,0.05,,,,,-9817.78923
125,53686,1.0,12.57,calcite,not applicable,11785.01079,345.1108414,393.1662548,,,,11827.5,322.5,455.8,11821.60719,355.9413765,383.8321635,,,,11776.02995,343.2531014,363.6279726,11906.02077,320.6431309,339.915154,-9.8,0.1,-10.42,0.05,,,,,-9835.01079
125,53687,1.0,13.04,calcite,not applicable,11803.22605,338.0712936,385.7596847,,,,11841.0,317.0,432.1,11839.79115,350.8903544,378.503536,,,,11794.15649,337.5647702,359.6076273,11919.37428,319.2408746,331.0668458,-9.27,0.1,-9.65,0.05,,,,,-9853.22605
125,53688,1.0,13.51,calcite,not applicable,11819.20306,330.9499658,369.3463258,,,,11857.0,312.2,404.5,11859.95497,344.8290136,378.3406215,,,,11812.13379,330.5342266,352.7890714,11932.83611,317.5641446,322.7898875,-9.95,0.1,-9.99,0.05,,,,,-9869.20306
125,53689,1.0,14.47,calcite,not applicable,11855.50463,317.0941974,353.9454533,,,,11886.5,318.55,358.8,11896.9765,343.5092915,367.851287,,,,11847.41179,313.0395552,335.5476235,11960.83929,311.4426823,311.1040021,-9.47,0.1,-10.23,0.05,,,,,-9905.50463
125,53690,1.0,14.94,calcite,not applicable,11872.29488,311.4608218,348.7237402,,,,11905.5,323.65,345.55,11915.6828,345.625107,366.502659,,,,11864.33849,305.9146504,325.6328492,11974.80972,307.2593528,308.2545649,-9.37,0.1,-10.56,0.05,,,,,-9922.29488
125,53691,1.0,15.41,calcite,not applicable,11889.28242,306.8967933,341.439787,,,,11924.5,327.55,348.5,11932.84845,344.7801405,365.35602,,,,11877.53237,304.1719037,310.0140871,11988.89154,303.3807464,306.1829552,-8.87,0.1,-10.54,0.05,,,,,-9939.28242
125,53692,1.0,15.88,calcite,not applicable,11906.0665,301.0641342,333.892859,,,,11941.0,329.1,335.05,11950.90193,348.660294,366.372112,,,,11895.51566,297.3202675,306.4220991,12003.03292,300.7204481,303.9217513,-9.67,0.1,-10.8,0.05,,,,,-9956.0665
125,53693,1.0,16.35,calcite,not applicable,11922.47178,297.064011,325.9212569,,,,11957.5,334.5,323.55,11969.22673,352.53181,368.28374,,,,11911.32822,293.6010606,305.060622,12017.18507,300.1367551,300.5394821,-8.93,0.1,-9.91,0.05,,,,,-9972.47178
125,53694,1.0,16.82,calcite,not applicable,11939.45833,296.1986039,323.8125338,,,,11976.5,337.9,316.55,11986.5073,359.488258,369.977152,,,,11930.21085,285.3860227,302.6231898,12031.36014,301.3884016,295.8196567,-9.42,0.1,-10.09,0.05,,,,,-9989.45833
