entity_id,sample_id,sample_thickness,depth_sample,mineralogy,arag_corr,lin_interp_age,lin_interp_age_uncert_pos,lin_interp_age_uncert_neg,lin_reg_age,lin_reg_age_uncert_pos,lin_reg_age_uncert_neg,Bchron_age,Bchron_age_uncert_pos,Bchron_age_uncert_neg,Bacon_age,Bacon_age_uncert_pos,Bacon_age_uncert_neg,OxCal_age,OxCal_age_uncert_pos,OxCal_age_uncert_neg,copRa_age,copRa_age_uncert_pos,copRa_age_uncert_neg,StalAge_age,StalAge_age_uncert_pos,StalAge_age_uncert_neg,d18O_measurement,d18O_precision,d13C_measurement,d13C_precision,Mg_Ca_measurement,Mg_Ca_precision,Sr_Ca_measurement,Sr_Ca_precision,year_CE
126,54303,0.05,9.0,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.76,0.1,-7.48,0.1,,,,,
126,54304,0.05,10.0,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.13,0.1,-7.75,0.1,,,,,
126,54305,0.05,12.0,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.51,0.1,-8.3,0.1,,,,,
126,54306,0.05,13.0,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.35,0.1,-8.51,0.1,,,,,
126,54307,0.05,13.68,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.31,0.1,-6.42,0.1,,,,,
126,54308,0.05,13.98,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.8,0.1,-7.0,0.1,,,,,
126,54309,0.05,14.52,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.89,0.1,-7.5,0.1,,,,,
126,54310,0.05,14.92,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.79,0.1,-7.24,0.1,,,,,
126,54311,0.05,15.12,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.2,0.1,-8.64,0.1,,,,,
126,54312,0.05,15.34,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.22,0.1,-7.76,0.1,,,,,
126,54313,0.05,15.5,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.14,0.1,-7.99,0.1,,,,,
126,54314,0.05,15.58,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-6.91,0.1,-6.01,0.1,,,,,
126,54315,0.05,15.71,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-7.25,0.1,-6.58,0.1,,,,,
126,54316,0.05,16.15,calcite,not applicable,,,,,,,,,,,,,,,,,,,,,,-8.39,0.1,-8.28,0.1,,,,,
